alive_0,bus_current_0,bus_voltage_0,heatsink_temp_0,motor_temp_0,rail_15v_0,rail_3v3_0,rail_1v9_0,dsp_temp_0,error_flags_0,limit_flags_0,rx_error_count_0,tx_error_count_0,motor_velocity_0,vehicle_velocity_0,phase_current_b_0,alive_1,bus_current_1,bus_voltage_1,heatsink_temp_1,motor_temp_1,rail_15v_1,rail_3v3_1,rail_1v9_1,dsp_temp_1,error_flags_1,limit_flags_1,rx_error_count_1,tx_error_count_1,motor_velocity_1,vehicle_velocity_1,phase_current_b_1,drive_mode,throttle_value,regen_value,brake_pedal_value,cruise_down_on,cruise_up_on,reverse_on,horn_on,headlights_on,rearview_on,power_save_on,left_turn_on,right_turn_on,mppt_current_A0,mppt_power_A0,mppt_temp_A0,mppt_vin_A0,mppt_vout_A0,mppt_current_A1,mppt_power_A1,mppt_temp_A1,mppt_vin_A1,mppt_vout_A1,mppt_current_B0,mppt_power_B0,mppt_temp_B0,mppt_vin_B0,mppt_vout_B0,mppt_current_B1,mppt_power_B1,mppt_temp_B1,mppt_vin_B1,mppt_vout_B1,mppt_current_C0,mppt_power_C0,mppt_temp_C0,mppt_vin_C0,mppt_vout_C0,mppt_current_C1,mppt_power_C1,mppt_temp_C1,mppt_vin_C1,mppt_vout_C1,battery_current,charge_enabled,highside_contactor_on,lowside_contactor_on,cell1,cell2,cell3,cell4,cell5,cell6,cell7,cell8,cell9,cell10,cell11,cell12,cell13,cell14,cell15,cell16,cell17,cell18,cell19,cell20,cell21,cell22,cell23,cell24,cell25,cell26,cell27,cell28,cell29,cell30,cell31
Yes,13.65,104.88,28.38,4.88,14.90,3.34,1.87,31.96,0x0,0x2,0,0,216.40,14.03,35.30,Yes,12.83,105.03,30.27,102.18,14.89,3.29,1.86,36.32,0x0,0x2,0,0,213.89,13.87,35.57,Manual,0.91,0.00,0.00,0x0,0x0,0x0,0x0,0x1,0x0,0x0,0x1,0x0,0.00,0.00,29.44,0.00,106.99,0.00,0.00,30.55,0.00,106.99,0.00,0.00,28.54,0.00,0.00,0.00,0.00,29.44,0.00,0.00,0.00,0.00,28.54,0.00,107.40,0.00,0.00,29.66,0.00,107.40,-0.182708,1,1,1,3.4603,3.4489,3.4492,3.4678,3.4379,3.4587,3.4522,3.4142,3.4536,3.4761,3.4667,3.4714,3.3340,3.4588,3.4687,3.4698,3.3867,3.4347,3.4733,3.4977,3.4420,3.4569,3.4822,3.4295,3.4539,3.4769,3.4442,3.4227,3.4162,3.4604,3.4884,
Yes,15.43,103.48,28.38,4.88,14.90,3.34,1.87,31.99,0x0,0x2,0,0,248.76,16.13,35.80,Yes,14.17,103.68,30.28,102.18,14.89,3.29,1.86,36.33,0x0,0x2,0,0,246.91,16.01,36.94,Manual,0.92,0.00,0.00,0x0,0x0,0x0,0x0,0x1,0x0,0x0,0x1,0x0,0.00,0.00,29.44,0.00,105.64,0.00,0.00,30.55,0.00,105.64,0.00,0.00,28.54,0.00,0.00,0.00,0.00,29.44,0.00,0.00,0.00,0.00,28.54,0.00,106.62,0.00,0.00,29.66,0.00,106.62,-0.181953,1,1,1,3.4420,3.4207,3.4151,3.4495,3.4225,3.4331,3.4333,3.3825,3.4202,3.4585,3.4515,3.4539,3.2932,3.4262,3.4505,3.4563,3.3519,3.4151,3.4473,3.4652,3.4223,3.4433,3.4653,3.3992,3.4201,3.4593,3.4288,3.3941,3.3955,3.4332,3.4588,
Yes,17.07,102.13,28.38,4.88,14.90,3.34,1.87,31.99,0x0,0x2,0,0,280.77,18.21,35.79,Yes,15.57,102.11,30.28,102.18,14.89,3.29,1.86,36.32,0x0,0x2,0,0,278.85,18.08,37.41,Manual,0.91,0.00,0.00,0x0,0x0,0x0,0x0,0x1,0x0,0x0,0x0,0x0,0.00,0.00,29.44,0.00,105.01,0.00,0.00,30.55,0.00,105.01,0.00,0.00,28.54,0.00,0.00,0.00,0.00,29.44,0.00,0.00,0.00,0.00,28.54,0.00,105.34,0.00,0.00,29.66,0.00,105.34,-0.182645,1,1,1,3.4053,3.3870,3.3854,3.4125,3.3815,3.4019,3.3960,3.3457,3.3910,3.4230,3.4101,3.4183,3.2445,3.3975,3.4144,3.4197,3.3098,3.3751,3.4162,3.4367,3.3819,3.4067,3.4310,3.3629,3.3911,3.4237,3.3884,3.3586,3.3528,3.4005,3.4332,
Yes,18.35,100.77,28.38,4.88,14.90,3.34,1.87,31.98,0x0,0x2,0,0,312.86,20.29,36.47,Yes,16.99,100.72,30.28,102.18,14.89,3.29,1.86,36.31,0x0,0x2,0,0,312.53,20.27,36.00,Manual,0.92,0.00,0.00,0x0,0x0,0x0,0x0,0x1,0x0,0x0,0x0,0x0,0.00,0.00,29.44,0.00,103.22,0.00,0.00,30.55,0.00,103.22,0.00,0.00,28.54,0.00,0.00,0.00,0.00,29.44,0.00,0.00,0.00,0.00,28.54,0.00,103.56,0.00,0.00,29.66,0.00,103.56,-0.182919,1,1,1,3.3737,3.3525,3.3427,3.3705,3.3384,3.3682,3.3634,3.3073,3.3492,3.3826,3.3668,3.3878,3.1943,3.3563,3.3731,3.3814,3.2638,3.3410,3.3843,3.3959,3.3359,3.3680,3.4016,3.3260,3.3493,3.3835,3.3455,3.3210,3.3163,3.3673,3.3964,
Yes,19.93,99.31,28.38,4.88,14.90,3.34,1.87,31.97,0x0,0x2,0,0,344.53,22.34,36.34,Yes,19.02,99.15,30.30,102.18,14.89,3.29,1.86,36.31,0x0,0x2,0,0,343.79,22.29,36.40,Manual,0.93,0.00,0.00,0x0,0x0,0x0,0x0,0x1,0x0,0x0,0x0,0x0,0.00,0.00,29.44,0.00,102.44,0.00,0.00,30.55,0.00,102.44,0.00,0.00,28.54,0.00,0.00,0.00,0.00,29.44,0.00,0.00,0.00,0.00,28.54,0.00,101.79,0.00,0.00,29.66,0.00,101.79,-0.182156,1,1,1,3.3553,3.3369,3.3285,3.3522,3.3054,3.3177,3.3447,3.2901,3.3352,3.3648,3.3340,3.3699,3.1724,3.3433,3.3548,3.3529,3.1944,3.3207,3.3700,3.3827,3.3158,3.3392,3.3844,3.3097,3.3354,3.3660,3.3134,3.2639,3.2950,3.3529,3.3840,
Yes,21.60,97.98,28.39,4.88,14.90,3.34,1.87,31.97,0x0,0x2,0,0,375.47,24.35,36.89,Yes,20.68,97.93,30.31,102.18,14.89,3.29,1.86,36.31,0x0,0x2,0,0,373.85,24.24,36.94,Manual,0.92,0.00,0.00,0x0,0x0,0x0,0x0,0x1,0x0,0x0,0x0,0x0,0.00,0.00,29.44,0.00,100.57,0.00,0.00,30.55,0.00,100.57,0.00,0.00,28.43,0.00,0.00,0.00,0.00,29.44,0.00,0.00,0.00,0.00,28.54,0.00,100.55,0.00,0.00,29.66,0.00,100.55,-0.182350,1,1,1,3.2883,3.2644,3.2655,3.3040,3.2688,3.2965,3.2759,3.2085,3.2735,3.3200,3.2966,3.3054,3.0654,3.2827,3.3096,3.3200,3.1673,3.2485,3.3028,3.3222,3.2655,3.3059,3.3220,3.2310,3.2734,3.3207,3.2764,3.2403,3.2176,3.2823,3.3298,
Yes,23.50,96.67,28.40,4.88,14.90,3.34,1.87,31.98,0x0,0x2,0,0,406.00,26.33,37.13,Yes,22.17,96.62,30.31,102.18,14.89,3.29,1.86,36.29,0x0,0x2,0,0,404.91,26.26,37.29,Manual,0.93,0.00,0.00,0x0,0x0,0x0,0x0,0x1,0x0,0x0,0x0,0x0,0.00,0.00,29.44,0.00,99.67,0.00,0.00,30.55,0.00,99.67,0.00,0.00,28.54,0.00,0.00,0.00,0.00,29.44,0.00,0.00,0.00,0.00,28.54,0.00,99.75,0.00,0.00,29.66,0.00,99.75,-0.181719,1,1,1,3.2340,3.2129,3.2215,3.2617,3.2201,3.2545,3.2199,3.1555,3.2302,3.2788,3.2477,3.2529,2.9956,3.2403,3.2671,3.2766,3.1103,3.1900,3.2582,3.2801,3.2187,3.2624,3.2720,3.1793,3.2300,3.2798,3.2285,3.1932,3.1547,3.2356,3.2916,
Yes,28.85,92.07,28.43,4.88,14.90,3.34,1.87,31.96,0x0,0x2,0,0,494.96,32.10,36.94,Yes,26.75,92.19,30.32,102.18,14.89,3.29,1.86,36.29,0x0,0x2,0,0,492.61,31.95,36.65,Manual,0.93,0.00,0.00,0x0,0x0,0x0,0x0,0x1,0x0,0x0,0x0,0x0,0.00,0.00,29.44,0.00,94.84,0.00,0.00,30.55,0.00,94.84,0.00,0.00,28.43,0.00,0.00,0.00,0.00,29.44,0.00,0.00,0.00,0.00,28.54,0.00,94.82,0.00,0.00,29.77,0.00,94.82,-0.183539,1,1,1,3.1412,3.1006,3.0901,3.1342,3.0890,3.1210,3.1248,3.0327,3.1012,3.1571,3.1165,3.1632,2.8364,3.1142,3.1431,3.1611,2.9270,3.0892,3.1566,3.1547,3.0805,3.1455,3.1856,3.0602,3.1009,3.1583,3.0989,3.0423,3.0477,3.1287,3.1780,
Yes,0.00,115.42,28.45,4.88,14.92,3.34,1.86,31.91,0x0,0x0,0,0,463.44,30.05,0.00,Yes,0.00,115.34,30.34,102.18,14.90,3.29,1.86,36.30,0x0,0x0,0,0,461.90,29.95,0.00,Manual,0.00,0.00,0.00,0x0,0x0,0x0,0x0,0x1,0x0,0x0,0x0,0x0,0.00,0.00,29.44,0.00,116.96,0.00,0.00,30.55,0.00,116.96,0.00,0.00,28.43,0.00,0.00,0.00,0.00,29.44,0.00,0.00,0.00,0.00,28.54,0.00,117.41,0.00,0.00,29.77,0.00,117.41,-0.181997,1,1,1,3.7200,3.7171,3.7218,3.7235,3.7217,3.7225,3.7194,3.7139,3.7200,3.7218,3.7492,3.7218,3.7373,3.7194,3.7198,3.7175,3.7510,3.7152,3.7204,3.7553,3.7245,3.7076,3.7222,3.7212,3.7211,3.7222,3.7241,3.7237,3.7207,3.7208,3.7208,
Yes,0.00,115.50,28.47,4.88,14.92,3.34,1.87,31.89,0x0,0x0,0,0,452.66,29.35,0.00,Yes,0.00,115.41,30.34,102.18,14.90,3.29,1.86,36.31,0x0,0x0,0,0,451.82,29.30,0.00,Manual,0.00,0.00,0.00,0x0,0x0,0x0,0x0,0x1,0x0,0x0,0x0,0x0,0.00,0.00,29.44,0.00,116.96,0.00,0.00,30.55,0.00,116.96,0.00,0.00,28.43,0.00,0.00,0.00,0.00,29.44,0.00,0.00,0.00,0.00,28.43,0.00,117.45,0.00,0.00,29.77,0.00,117.45,-0.183157,1,1,1,3.7225,3.7199,3.7245,3.7262,3.7243,3.7249,3.7220,3.7164,3.7225,3.7241,3.7520,3.7244,3.7401,3.7221,3.7225,3.7201,3.7539,3.7180,3.7229,3.7581,3.7270,3.7101,3.7247,3.7238,3.7238,3.7247,3.7267,3.7262,3.7232,3.7232,3.7231,
Yes,0.00,115.60,28.48,4.88,14.92,3.34,1.87,31.88,0x0,0x0,0,0,414.77,26.90,0.00,Yes,0.00,115.51,30.36,102.18,14.90,3.29,1.86,36.32,0x0,0x0,0,0,415.10,26.92,0.00,Manual,0.00,0.00,0.00,0x0,0x0,0x0,0x0,0x1,0x0,0x0,0x0,0x0,0.00,0.00,29.44,0.00,117.12,0.00,0.00,30.55,0.00,117.12,0.00,0.00,28.43,0.00,0.00,0.00,0.00,29.44,0.00,0.00,0.00,0.00,28.43,0.00,117.61,0.00,0.00,29.66,0.00,117.61,-0.182462,1,1,1,3.7256,3.7233,3.7276,3.7292,3.7272,3.7280,3.7249,3.7198,3.7258,3.7274,3.7554,3.7273,3.7434,3.7252,3.7254,3.7230,3.7572,3.7213,3.7260,3.7614,3.7299,3.7129,3.7277,3.7270,3.7268,3.7278,3.7295,3.7291,3.7266,3.7264,3.7263,
