alive_0,bus_current_0,bus_voltage_0,heatsink_temp_0,motor_temp_0,rail_15v_0,rail_3v3_0,rail_1v9_0,dsp_temp_0,error_flags_0,limit_flags_0,rx_error_count_0,tx_error_count_0,motor_velocity_0,vehicle_velocity_0,phase_current_b_0,alive_1,bus_current_1,bus_voltage_1,heatsink_temp_1,motor_temp_1,rail_15v_1,rail_3v3_1,rail_1v9_1,dsp_temp_1,error_flags_1,limit_flags_1,rx_error_count_1,tx_error_count_1,motor_velocity_1,vehicle_velocity_1,phase_current_b_1,drive_mode,throttle_value,regen_value,brake_pedal_value,cruise_down_on,cruise_up_on,reverse_on,horn_on,headlights_on,rearview_on,power_save_on,left_turn_on,right_turn_on,mppt_current_A0,mppt_power_A0,mppt_temp_A0,mppt_vin_A0,mppt_vout_A0,mppt_current_A1,mppt_power_A1,mppt_temp_A1,mppt_vin_A1,mppt_vout_A1,mppt_current_B0,mppt_power_B0,mppt_temp_B0,mppt_vin_B0,mppt_vout_B0,mppt_current_B1,mppt_power_B1,mppt_temp_B1,mppt_vin_B1,mppt_vout_B1,mppt_current_C0,mppt_power_C0,mppt_temp_C0,mppt_vin_C0,mppt_vout_C0,mppt_current_C1,mppt_power_C1,mppt_temp_C1,mppt_vin_C1,mppt_vout_C1,battery_current,charge_enabled,highside_contactor_on,lowside_contactor_on,cell1,cell2,cell3,cell4,cell5,cell6,cell7,cell8,cell9,cell10,cell11,cell12,cell13,cell14,cell15,cell16,cell17,cell18,cell19,cell20,cell21,cell22,cell23,cell24,cell25,cell26,cell27,cell28,cell29,cell30,cell31
Yes,0.00,115.43,28.40,4.88,14.90,3.34,1.87,31.95,0x0,0x0,0,0,462.26,29.98,0.00,Yes,0.00,115.35,30.40,102.18,14.90,3.29,1.86,36.36,0x0,0x0,0,0,460.55,29.87,0.00,Manual,0.00,0.00,0.00,0x0,0x0,0x0,0x0,0x1,0x0,0x0,0x1,0x0,0.00,0.00,29.10,0.00,116.96,0.00,0.00,30.33,0.00,116.96,0.00,0.00,28.21,0.00,0.00,0.00,0.00,29.22,0.00,0.00,0.00,0.00,28.21,0.00,117.45,0.00,0.00,29.44,0.00,117.45,-0.182998,1,1,1,3.7212,3.7191,3.7229,3.7246,3.7226,3.7234,3.7205,3.7149,3.7211,3.7228,3.7492,3.7226,3.7376,3.7204,3.7209,3.7185,3.7517,3.7161,3.7212,3.7554,3.7251,3.7081,3.7231,3.7223,3.7222,3.7232,3.7248,3.7244,3.7217,3.7217,3.7217,
Yes,0.00,115.58,28.43,4.88,14.92,3.34,1.87,31.94,0x0,0x0,0,0,398.73,25.86,0.00,Yes,0.00,115.49,30.41,102.18,14.90,3.29,1.86,36.36,0x0,0x0,0,0,396.96,25.74,0.00,Neutral,0.00,0.00,0.12,0x0,0x0,0x0,0x0,0x1,0x0,0x0,0x1,0x0,0.00,0.00,29.10,0.00,117.12,0.00,0.00,30.33,0.00,117.12,0.00,0.00,28.21,0.00,0.00,0.00,0.00,29.22,0.00,0.00,0.00,0.00,28.21,0.00,117.55,0.00,0.00,29.44,0.00,117.55,-0.182029,1,1,1,3.7249,3.7226,3.7267,3.7284,3.7263,3.7271,3.7242,3.7189,3.7249,3.7266,3.7535,3.7264,3.7416,3.7242,3.7246,3.7223,3.7559,3.7204,3.7250,3.7596,3.7289,3.7118,3.7268,3.7262,3.7261,3.7270,3.7286,3.7281,3.7255,3.7255,3.7253,
Yes,0.00,115.60,28.44,4.88,14.92,3.34,1.87,31.91,0x0,0x0,0,0,375.89,24.38,0.00,Yes,0.00,115.52,30.41,102.18,14.90,3.29,1.86,36.37,0x0,0x0,0,0,375.37,24.34,0.00,Manual,0.00,0.00,0.12,0x0,0x0,0x0,0x0,0x1,0x0,0x0,0x1,0x0,0.00,0.00,29.10,0.00,117.12,0.00,0.00,30.22,0.00,117.12,0.00,0.00,28.21,0.00,0.00,0.00,0.00,29.22,0.00,0.00,0.00,0.00,28.21,0.00,117.61,0.00,0.00,29.44,0.00,117.61,-0.182692,1,1,1,3.7261,3.7242,3.7281,3.7296,3.7275,3.7282,3.7254,3.7203,3.7264,3.7279,3.7550,3.7276,3.7430,3.7255,3.7258,3.7235,3.7573,3.7218,3.7264,3.7608,3.7300,3.7129,3.7281,3.7276,3.7274,3.7282,3.7298,3.7292,3.7269,3.7269,3.7268,
Yes,0.00,115.63,28.45,4.88,14.92,3.34,1.87,31.89,0x0,0x0,0,0,316.90,20.55,0.00,Yes,0.00,115.55,30.40,102.18,14.90,3.29,1.86,36.38,0x0,0x0,0,0,315.90,20.49,0.00,Manual,0.00,0.00,0.00,0x0,0x0,0x0,0x0,0x1,0x0,0x0,0x1,0x0,0.00,0.00,29.10,0.00,117.12,0.00,0.00,30.22,0.00,117.12,0.00,0.00,28.21,0.00,0.00,0.00,0.00,29.22,0.00,0.00,0.00,0.00,28.21,0.00,117.61,0.00,0.00,29.44,0.00,117.61,-0.182168,1,1,1,3.7270,3.7248,3.7288,3.7305,3.7283,3.7291,3.7263,3.7212,3.7271,3.7287,3.7559,3.7283,3.7438,3.7263,3.7266,3.7242,3.7582,3.7227,3.7272,3.7618,3.7308,3.7138,3.7290,3.7284,3.7282,3.7291,3.7305,3.7301,3.7276,3.7276,3.7275,
Yes,0.00,115.67,28.45,4.88,14.92,3.34,1.87,31.90,0x0,0x0,0,0,298.21,19.34,0.00,Yes,0.00,115.57,30.40,102.18,14.90,3.29,1.86,36.41,0x0,0x0,0,0,297.05,19.26,0.00,Manual,0.00,0.00,0.03,0x0,0x0,0x0,0x0,0x1,0x0,0x0,0x1,0x0,0.00,0.00,29.10,0.00,117.12,0.00,0.00,30.22,0.00,117.12,0.00,0.00,28.21,0.00,0.00,0.00,0.00,29.22,0.00,0.00,0.00,0.00,28.21,0.00,117.61,0.00,0.00,29.44,0.00,117.61,-0.183451,1,1,1,3.7278,3.7266,3.7299,3.7314,3.7293,3.7301,3.7271,3.7222,3.7281,3.7295,3.7570,3.7292,3.7448,3.7273,3.7278,3.7253,3.7594,3.7236,3.7280,3.7626,3.7319,3.7149,3.7298,3.7293,3.7292,3.7302,3.7316,3.7311,3.7284,3.7285,3.7285,
Yes,0.00,115.68,28.44,4.88,14.92,3.34,1.87,31.87,0x0,0x0,0,0,260.28,16.88,0.00,Yes,0.00,115.59,30.41,102.18,14.90,3.29,1.86,36.40,0x0,0x0,0,0,259.85,16.85,0.00,Manual,0.00,0.00,0.00,0x0,0x0,0x0,0x0,0x1,0x0,0x0,0x1,0x0,0.00,0.00,29.10,0.00,117.12,0.00,0.00,30.22,0.00,117.12,0.00,0.00,28.21,0.00,0.00,0.00,0.00,29.22,0.00,0.00,0.00,0.00,28.21,0.00,117.61,0.00,0.00,29.33,0.00,117.61,-0.182124,1,1,1,3.7285,3.7272,3.7305,3.7321,3.7298,3.7306,3.7277,3.7228,3.7287,3.7301,3.7575,3.7299,3.7454,3.7278,3.7283,3.7258,3.7600,3.7243,3.7286,3.7634,3.7323,3.7153,3.7305,3.7298,3.7297,3.7305,3.7321,3.7316,3.7292,3.7291,3.7290,
Yes,0.00,115.71,28.43,4.88,14.92,3.34,1.87,31.87,0x0,0x0,0,0,155.53,10.09,0.00,Yes,0.00,115.62,30.41,102.18,14.90,3.29,1.86,36.40,0x0,0x0,0,0,157.03,10.18,0.00,Neutral,0.00,0.00,0.22,0x0,0x0,0x0,0x0,0x1,0x0,0x0,0x1,0x0,0.00,0.00,29.10,0.00,117.23,0.00,0.00,30.22,0.00,117.23,0.00,0.00,28.21,0.00,0.00,0.00,0.00,29.22,0.00,0.00,0.00,0.00,28.21,0.00,117.65,0.00,0.00,29.33,0.00,117.65,-0.182180,1,1,1,3.7295,3.7282,3.7314,3.7330,3.7309,3.7316,3.7286,3.7238,3.7296,3.7311,3.7585,3.7308,3.7463,3.7287,3.7292,3.7269,3.7610,3.7253,3.7295,3.7643,3.7333,3.7162,3.7314,3.7309,3.7306,3.7316,3.7331,3.7325,3.7300,3.7299,3.7299,
Yes,0.00,115.72,28.42,4.88,14.92,3.34,1.87,31.87,0x0,0x0,0,0,65.70,4.26,0.00,Yes,0.00,115.63,30.40,102.18,14.90,3.29,1.86,36.40,0x0,0x0,0,0,68.75,4.46,0.00,Neutral,0.00,0.00,0.20,0x0,0x0,0x0,0x0,0x1,0x0,0x0,0x1,0x0,0.00,0.00,29.10,0.00,117.29,0.00,0.00,30.22,0.00,117.29,0.00,0.00,28.21,0.00,0.00,0.00,0.00,29.22,0.00,0.00,0.00,0.00,28.21,0.00,117.65,0.00,0.00,29.33,0.00,117.65,-0.182557,1,1,1,3.7299,3.7280,3.7319,3.7336,3.7313,3.7321,3.7291,3.7243,3.7303,3.7316,3.7592,3.7313,3.7468,3.7293,3.7296,3.7273,3.7617,3.7257,3.7301,3.7649,3.7336,3.7168,3.7318,3.7313,3.7311,3.7321,3.7336,3.7330,3.7306,3.7306,3.7305,
Yes,0.00,115.75,28.41,4.88,14.92,3.34,1.87,31.88,0x0,0x0,0,0,23.16,1.50,0.00,Yes,0.00,115.63,30.40,102.18,14.90,3.29,1.86,36.41,0x0,0x0,0,0,23.24,1.51,0.00,Manual,0.00,0.00,0.00,0x0,0x0,0x0,0x0,0x1,0x0,0x0,0x1,0x0,0.00,0.00,29.10,0.00,117.27,0.00,0.00,30.22,0.00,117.27,0.00,0.00,28.21,0.00,0.00,0.00,0.00,29.22,0.00,0.00,0.00,0.00,28.21,0.00,117.72,0.00,0.00,29.33,0.00,117.72,-0.182883,1,1,1,3.7305,3.7285,3.7324,3.7340,3.7317,3.7326,3.7296,3.7250,3.7308,3.7321,3.7597,3.7317,3.7475,3.7297,3.7300,3.7279,3.7622,3.7264,3.7306,3.7655,3.7342,3.7173,3.7324,3.7320,3.7317,3.7327,3.7341,3.7336,3.7311,3.7310,3.7310,
Yes,0.00,115.74,28.40,4.88,14.92,3.34,1.87,31.89,0x0,0x0,0,0,21.53,1.40,0.00,Yes,0.00,115.65,30.40,102.18,14.90,3.29,1.86,36.43,0x0,0x0,0,0,21.67,1.41,0.00,Manual,0.00,0.00,0.00,0x0,0x0,0x0,0x0,0x1,0x0,0x0,0x1,0x0,0.00,0.00,29.10,0.00,117.29,0.00,0.00,30.22,0.00,117.29,0.00,0.00,28.21,0.00,0.00,0.00,0.00,29.22,0.00,0.00,0.00,0.00,28.21,0.00,117.76,0.00,0.00,29.33,0.00,117.76,-0.182478,1,1,1,3.7308,3.7289,3.7328,3.7344,3.7321,3.7329,3.7300,3.7253,3.7311,3.7325,3.7600,3.7321,3.7478,3.7301,3.7305,3.7282,3.7627,3.7269,3.7310,3.7659,3.7345,3.7176,3.7326,3.7322,3.7320,3.7329,3.7344,3.7338,3.7314,3.7312,3.7312,
