alive_0,bus_current_0,bus_voltage_0,heatsink_temp_0,motor_temp_0,rail_15v_0,rail_3v3_0,rail_1v9_0,dsp_temp_0,error_flags_0,limit_flags_0,rx_error_count_0,tx_error_count_0,motor_velocity_0,vehicle_velocity_0,phase_current_b_0,alive_1,bus_current_1,bus_voltage_1,heatsink_temp_1,motor_temp_1,rail_15v_1,rail_3v3_1,rail_1v9_1,dsp_temp_1,error_flags_1,limit_flags_1,rx_error_count_1,tx_error_count_1,motor_velocity_1,vehicle_velocity_1,phase_current_b_1,drive_mode,throttle_value,regen_value,brake_pedal_value,cruise_down_on,cruise_up_on,reverse_on,horn_on,headlights_on,rearview_on,power_save_on,left_turn_on,right_turn_on,mppt_current_A0,mppt_power_A0,mppt_temp_A0,mppt_vin_A0,mppt_vout_A0,mppt_current_A1,mppt_power_A1,mppt_temp_A1,mppt_vin_A1,mppt_vout_A1,mppt_current_B0,mppt_power_B0,mppt_temp_B0,mppt_vin_B0,mppt_vout_B0,mppt_current_B1,mppt_power_B1,mppt_temp_B1,mppt_vin_B1,mppt_vout_B1,mppt_current_C0,mppt_power_C0,mppt_temp_C0,mppt_vin_C0,mppt_vout_C0,mppt_current_C1,mppt_power_C1,mppt_temp_C1,mppt_vin_C1,mppt_vout_C1,battery_current,charge_enabled,highside_contactor_on,lowside_contactor_on,cell1,cell2,cell3,cell4,cell5,cell6,cell7,cell8,cell9,cell10,cell11,cell12,cell13,cell14,cell15,cell16,cell17,cell18,cell19,cell20,cell21,cell22,cell23,cell24,cell25,cell26,cell27,cell28,cell29,cell30,cell31
Yes,0.00,119.57,31.22,4.88,14.94,3.34,1.86,33.40,0x0,0x0,0,0,0.00,0.00,0.00,Yes,0.00,119.34,33.26,101.90,14.91,3.29,1.86,38.00,0x0,0x0,0,0,0.00,0.00,0.00,Neutral,0.00,0.00,0.32,0x0,0x0,0x0,0x0,0x1,0x0,0x0,0x0,0x0,3.67,99.21,35.55,27.07,121.04,3.61,124.84,37.66,34.60,121.04,0.00,0.00,33.22,0.00,121.63,3.72,79.63,35.66,21.39,121.63,3.24,66.67,34.66,20.59,121.53,3.83,72.54,36.66,18.96,121.53,-0.182259,1,1,1,3.8387,3.8428,3.8433,3.8414,3.8425,3.8411,3.8381,3.8437,3.8409,3.8377,3.8802,3.8372,3.8812,3.8377,3.8363,3.8341,3.8946,3.8447,3.8361,3.8796,3.8432,3.8224,3.8361,3.8451,3.8416,3.8382,3.8438,3.8472,3.8451,3.8386,3.8345,
Yes,0.00,119.59,31.22,4.88,14.94,3.34,1.86,33.40,0x0,0x0,0,0,0.00,0.00,0.00,Yes,0.00,119.34,33.26,101.90,14.91,3.29,1.86,38.01,0x0,0x0,0,0,0.00,0.00,0.00,Neutral,0.00,0.00,0.30,0x0,0x0,0x0,0x0,0x1,0x0,0x0,0x0,0x0,3.62,100.54,35.55,27.79,121.04,3.58,124.62,37.66,34.84,121.04,0.00,0.00,33.22,0.00,121.59,3.61,79.95,35.66,22.16,121.59,3.26,66.54,34.66,20.43,121.51,3.90,71.96,36.66,18.45,121.51,-0.182899,1,1,1,3.8387,3.8430,3.8437,3.8417,3.8428,3.8415,3.8381,3.8436,3.8411,3.8378,3.8806,3.8371,3.8813,3.8379,3.8366,3.8342,3.8950,3.8446,3.8360,3.8799,3.8437,3.8227,3.8360,3.8453,3.8419,3.8383,3.8441,3.8475,3.8452,3.8389,3.8347,
Yes,0.00,119.57,31.23,4.88,14.93,3.34,1.86,33.42,0x0,0x0,0,0,0.00,0.00,0.00,Yes,0.00,119.35,33.28,101.90,14.91,3.29,1.86,38.02,0x0,0x0,0,0,0.00,0.00,0.00,Neutral,0.00,0.00,0.32,0x0,0x0,0x0,0x0,0x1,0x0,0x0,0x0,0x0,3.57,100.08,35.55,28.01,121.04,3.66,124.74,37.66,34.09,121.04,0.00,0.00,33.22,0.00,121.61,3.72,79.42,35.66,21.32,121.61,3.22,66.22,34.66,20.59,121.51,3.93,71.45,36.66,18.20,121.51,-0.181929,1,1,1,3.8385,3.8427,3.8432,3.8412,3.8423,3.8410,3.8379,3.8434,3.8409,3.8375,3.8800,3.8370,3.8808,3.8376,3.8362,3.8340,3.8945,3.8446,3.8358,3.8796,3.8432,3.8224,3.8359,3.8449,3.8414,3.8380,3.8439,3.8472,3.8450,3.8386,3.8343,
Yes,0.00,119.55,31.22,4.88,14.94,3.34,1.86,33.41,0x0,0x0,0,0,0.00,0.00,0.00,Yes,0.00,119.35,33.28,101.90,14.91,3.29,1.86,38.02,0x0,0x0,0,0,0.00,0.00,0.00,Neutral,0.00,0.00,0.30,0x0,0x0,0x0,0x0,0x1,0x0,0x0,0x0,0x0,3.70,99.60,35.66,26.89,121.04,3.62,124.92,37.77,34.50,121.04,0.00,0.00,33.22,0.00,121.63,3.63,80.19,35.66,22.12,121.63,3.25,64.65,34.66,19.88,121.51,3.77,72.29,36.77,19.16,121.51,-0.182490,1,1,1,3.8386,3.8428,3.8435,3.8416,3.8426,3.8414,3.8380,3.8435,3.8409,3.8376,3.8805,3.8372,3.8811,3.8378,3.8364,3.8342,3.8946,3.8448,3.8360,3.8797,3.8433,3.8226,3.8360,3.8452,3.8416,3.8381,3.8440,3.8473,3.8452,3.8388,3.8345,
Yes,0.00,119.57,31.23,4.88,14.93,3.34,1.86,33.43,0x0,0x0,0,0,-1.58,-0.10,0.00,Yes,0.00,119.36,33.28,101.90,14.91,3.29,1.86,38.02,0x0,0x0,0,0,-1.36,-0.09,0.00,Neutral,0.00,0.00,0.12,0x0,0x0,0x0,0x0,0x1,0x0,0x0,0x0,0x0,3.65,100.06,35.66,27.42,121.04,3.56,124.28,37.77,34.93,121.04,0.00,0.00,33.22,0.00,121.65,3.55,79.49,35.66,22.41,121.65,3.23,65.65,34.66,20.30,121.53,3.84,72.17,36.77,18.78,121.53,-0.182744,1,1,1,3.8387,3.8429,3.8435,3.8415,3.8425,3.8413,3.8381,3.8436,3.8410,3.8377,3.8804,3.8373,3.8812,3.8378,3.8363,3.8341,3.8947,3.8447,3.8361,3.8798,3.8434,3.8225,3.8361,3.8452,3.8417,3.8382,3.8439,3.8474,3.8452,3.8389,3.8347,
Yes,0.00,119.57,31.23,4.88,14.94,3.34,1.86,33.42,0x0,0x0,0,0,-6.06,-0.39,0.00,Yes,0.00,119.34,33.28,101.90,14.91,3.29,1.86,38.02,0x0,0x0,0,0,-6.87,-0.45,0.00,Neutral,0.84,0.00,0.10,0x0,0x0,0x0,0x0,0x1,0x0,0x0,0x0,0x0,3.67,100.01,35.66,27.28,121.00,3.65,124.47,37.77,34.13,121.04,0.00,0.00,33.22,0.00,121.65,3.72,79.80,35.66,21.47,121.65,3.22,65.98,34.66,20.49,121.51,3.87,72.33,36.77,18.71,121.51,-0.181921,1,1,1,3.8386,3.8427,3.8435,3.8415,3.8426,3.8413,3.8379,3.8434,3.8410,3.8377,3.8803,3.8371,3.8809,3.8379,3.8363,3.8342,3.8948,3.8445,3.8358,3.8796,3.8433,3.8225,3.8360,3.8450,3.8416,3.8381,3.8438,3.8474,3.8450,3.8386,3.8345,
Yes,0.00,119.58,31.23,4.88,14.93,3.34,1.86,33.44,0x0,0x0,0,0,0.00,0.00,0.00,Yes,0.00,119.35,33.28,101.90,14.91,3.29,1.86,38.04,0x0,0x0,0,0,-0.16,-0.01,0.00,Neutral,0.00,0.00,0.33,0x0,0x0,0x0,0x0,0x1,0x0,0x0,0x0,0x0,3.69,99.29,35.66,26.93,121.04,3.58,124.44,37.77,34.74,121.04,0.00,0.00,33.22,0.00,121.67,3.53,79.35,35.66,22.51,121.67,3.20,66.27,34.66,20.71,121.53,3.72,72.17,36.77,19.41,121.53,-0.181778,1,1,1,3.8386,3.8428,3.8433,3.8413,3.8423,3.8411,3.8377,3.8435,3.8408,3.8375,3.8801,3.8370,3.8808,3.8376,3.8362,3.8341,3.8947,3.8444,3.8359,3.8797,3.8432,3.8224,3.8359,3.8449,3.8415,3.8381,3.8439,3.8473,3.8449,3.8386,3.8345,
Yes,0.00,119.58,31.23,4.88,14.94,3.34,1.86,33.43,0x0,0x0,0,0,0.00,0.00,0.00,Yes,0.00,119.35,33.28,101.90,14.91,3.29,1.86,38.05,0x0,0x0,0,0,0.00,0.00,0.00,Neutral,0.00,0.00,0.33,0x0,0x0,0x0,0x0,0x1,0x0,0x0,0x0,0x0,3.59,100.43,35.66,27.99,121.04,3.56,124.24,37.77,34.88,121.04,0.00,0.00,33.22,0.00,121.67,3.73,79.54,35.66,21.32,121.67,3.20,66.19,34.55,20.71,121.51,3.91,71.90,36.55,18.37,121.51,-0.182561,1,1,1,3.8387,3.8430,3.8436,3.8417,3.8427,3.8413,3.8383,3.8437,3.8412,3.8377,3.8804,3.8374,3.8812,3.8380,3.8365,3.8343,3.8948,3.8447,3.8360,3.8800,3.8434,3.8226,3.8363,3.8452,3.8418,3.8385,3.8442,3.8474,3.8454,3.8387,3.8347,
Yes,0.00,119.58,31.23,4.88,14.94,3.34,1.86,33.46,0x0,0x0,0,0,-0.84,-0.05,0.00,Yes,0.00,119.35,33.29,101.90,14.91,3.29,1.86,38.05,0x0,0x0,0,0,-0.86,-0.06,0.00,Neutral,0.00,0.00,0.32,0x0,0x0,0x0,0x0,0x1,0x0,0x1,0x0,0x0,3.59,100.11,35.66,27.91,121.04,3.63,124.73,37.77,34.40,121.04,0.00,0.00,33.22,0.00,121.69,3.58,79.95,35.66,22.34,121.69,3.17,65.74,34.66,20.75,121.51,3.65,71.60,36.66,19.61,121.51,-0.182490,1,1,1,3.8389,3.8432,3.8436,3.8417,3.8428,3.8415,3.8381,3.8439,3.8411,3.8379,3.8803,3.8373,3.8814,3.8379,3.8366,3.8344,3.8950,3.8450,3.8362,3.8799,3.8434,3.8228,3.8363,3.8453,3.8418,3.8383,3.8440,3.8475,3.8453,3.8389,3.8348,
Yes,0.00,119.58,31.23,4.88,14.94,3.34,1.86,33.46,0x0,0x0,0,0,0.00,0.00,0.00,Yes,0.00,119.34,33.29,101.90,14.91,3.29,1.86,38.07,0x0,0x0,0,0,0.00,0.00,0.00,Reverse,0.00,0.00,0.33,0x0,0x0,0x1,0x0,0x1,0x0,0x0,0x0,0x0,3.47,99.13,35.66,28.56,121.04,3.57,124.52,37.88,34.91,121.04,0.00,0.00,33.22,0.00,121.65,3.66,79.95,35.66,21.85,121.63,3.13,65.73,34.66,21.00,121.47,3.81,72.39,36.77,19.02,121.47,-0.182907,1,1,1,3.8390,3.8432,3.8438,3.8418,3.8429,3.8415,3.8381,3.8438,3.8413,3.8378,3.8808,3.8373,3.8813,3.8382,3.8367,3.8345,3.8951,3.8448,3.8362,3.8801,3.8436,3.8229,3.8362,3.8454,3.8420,3.8384,3.8441,3.8476,3.8454,3.8389,3.8347,
