alive_0,bus_current_0,bus_voltage_0,heatsink_temp_0,motor_temp_0,rail_15v_0,rail_3v3_0,rail_1v9_0,dsp_temp_0,error_flags_0,limit_flags_0,rx_error_count_0,tx_error_count_0,motor_velocity_0,vehicle_velocity_0,phase_current_b_0,alive_1,bus_current_1,bus_voltage_1,heatsink_temp_1,motor_temp_1,rail_15v_1,rail_3v3_1,rail_1v9_1,dsp_temp_1,error_flags_1,limit_flags_1,rx_error_count_1,tx_error_count_1,motor_velocity_1,vehicle_velocity_1,phase_current_b_1,drive_mode,throttle_value,regen_value,brake_pedal_value,cruise_down_on,cruise_up_on,reverse_on,horn_on,headlights_on,rearview_on,power_save_on,left_turn_on,right_turn_on,mppt_current_A0,mppt_power_A0,mppt_temp_A0,mppt_vin_A0,mppt_vout_A0,mppt_current_A1,mppt_power_A1,mppt_temp_A1,mppt_vin_A1,mppt_vout_A1,mppt_current_B0,mppt_power_B0,mppt_temp_B0,mppt_vin_B0,mppt_vout_B0,mppt_current_B1,mppt_power_B1,mppt_temp_B1,mppt_vin_B1,mppt_vout_B1,mppt_current_C0,mppt_power_C0,mppt_temp_C0,mppt_vin_C0,mppt_vout_C0,mppt_current_C1,mppt_power_C1,mppt_temp_C1,mppt_vin_C1,mppt_vout_C1,battery_current,charge_enabled,highside_contactor_on,lowside_contactor_on,cell1,cell2,cell3,cell4,cell5,cell6,cell7,cell8,cell9,cell10,cell11,cell12,cell13,cell14,cell15,cell16,cell17,cell18,cell19,cell20,cell21,cell22,cell23,cell24,cell25,cell26,cell27,cell28,cell29,cell30,cell31
Yes,0.00,116.18,28.03,4.88,14.92,3.34,1.86,32.14,0x0,0x0,0,0,231.50,15.01,0.00,Yes,0.00,116.08,29.81,102.18,14.90,3.29,1.86,36.38,0x0,0x0,0,0,232.50,15.08,0.00,Manual,0.00,0.00,0.00,0x0,0x0,0x0,0x0,0x1,0x0,0x0,0x0,0x0,0.00,0.00,29.55,0.00,117.61,0.00,0.00,30.66,0.00,117.61,0.00,0.00,28.66,0.00,0.00,0.00,0.00,29.55,0.00,0.00,0.00,0.00,28.77,0.00,118.10,0.00,0.00,29.88,0.00,118.10,-0.182267,1,1,1,3.7450,3.7443,3.7469,3.7483,3.7463,3.7469,3.7441,3.7410,3.7454,3.7465,3.7742,3.7461,3.7624,3.7440,3.7446,3.7423,3.7773,3.7427,3.7448,3.7800,3.7482,3.7313,3.7466,3.7464,3.7460,3.7468,3.7481,3.7477,3.7454,3.7454,3.7452,
Yes,0.00,116.18,28.03,4.88,14.92,3.34,1.86,32.14,0x0,0x0,0,0,220.02,14.27,0.00,Yes,0.00,116.11,29.81,102.18,14.90,3.29,1.86,36.38,0x0,0x0,0,0,222.23,14.41,0.00,Neutral,0.00,0.00,0.07,0x0,0x0,0x0,0x0,0x1,0x0,0x0,0x0,0x0,0.00,0.00,29.55,0.00,117.61,0.00,0.00,30.66,0.00,117.61,0.00,0.00,28.66,0.00,0.00,0.00,0.00,29.55,0.00,0.00,0.00,0.00,28.77,0.00,118.10,0.00,0.00,29.88,0.00,118.10,-0.182267,1,1,1,3.7455,3.7448,3.7473,3.7488,3.7467,3.7471,3.7445,3.7414,3.7458,3.7470,3.7748,3.7464,3.7628,3.7446,3.7450,3.7428,3.7779,3.7432,3.7452,3.7805,3.7487,3.7318,3.7470,3.7467,3.7464,3.7473,3.7486,3.7480,3.7459,3.7455,3.7457,
Yes,0.00,116.19,28.03,4.88,14.92,3.34,1.86,32.15,0x0,0x0,0,0,172.91,11.21,0.00,Yes,0.00,116.12,29.82,102.18,14.90,3.29,1.86,36.37,0x0,0x0,0,0,174.20,11.30,0.00,Manual,0.00,0.00,0.00,0x0,0x0,0x0,0x0,0x1,0x0,0x0,0x0,0x0,0.00,0.00,29.55,0.00,117.74,0.00,0.00,30.66,0.00,117.74,0.00,0.00,28.66,0.00,0.00,0.00,0.00,29.55,0.00,0.00,0.00,0.00,28.77,0.00,118.10,0.00,0.00,29.88,0.00,118.10,-0.182501,1,1,1,3.7459,3.7452,3.7476,3.7491,3.7469,3.7474,3.7447,3.7419,3.7460,3.7473,3.7751,3.7468,3.7632,3.7449,3.7454,3.7430,3.7781,3.7434,3.7456,3.7809,3.7490,3.7323,3.7472,3.7470,3.7468,3.7476,3.7489,3.7484,3.7461,3.7461,3.7461,
Yes,0.00,116.21,28.02,4.88,14.92,3.34,1.87,32.12,0x0,0x0,0,0,106.89,6.93,0.00,Yes,0.00,116.13,29.82,102.18,14.90,3.29,1.86,36.36,0x0,0x0,0,0,106.06,6.88,0.00,Neutral,0.00,0.00,0.15,0x0,0x0,0x0,0x0,0x1,0x0,0x0,0x0,0x0,0.00,0.00,29.55,0.00,117.78,0.00,0.00,30.66,0.00,117.78,0.00,0.00,28.66,0.00,0.00,0.00,0.00,29.55,0.00,0.00,0.00,0.00,28.77,0.00,118.18,0.00,0.00,29.88,0.00,118.18,-0.182199,1,1,1,3.7462,3.7453,3.7481,3.7495,3.7472,3.7479,3.7452,3.7423,3.7465,3.7478,3.7755,3.7471,3.7635,3.7452,3.7456,3.7435,3.7785,3.7438,3.7459,3.7811,3.7492,3.7324,3.7476,3.7474,3.7472,3.7479,3.7492,3.7487,3.7464,3.7462,3.7463,
Yes,4.79,112.72,28.03,4.88,14.89,3.34,1.87,32.14,0x0,0x2,0,0,94.47,6.13,22.43,Yes,4.29,112.71,29.83,102.18,14.89,3.29,1.86,36.35,0x0,0x2,0,0,94.20,6.11,22.30,Manual,0.44,0.00,0.00,0x0,0x0,0x0,0x0,0x1,0x0,0x0,0x0,0x0,0.00,0.00,29.55,0.00,115.49,0.00,0.00,30.66,0.00,115.49,0.00,0.00,28.66,0.00,0.00,0.00,0.00,29.55,0.00,0.00,0.00,0.00,28.77,0.00,115.90,0.00,0.00,29.77,0.00,115.90,-0.182498,1,1,1,3.6643,3.6589,3.6624,3.6678,3.6563,3.6620,3.6611,3.6470,3.6626,3.6694,3.6842,3.6682,3.6383,3.6630,3.6657,3.6628,3.6628,3.6554,3.6668,3.7000,3.6606,3.6512,3.6718,3.6551,3.6628,3.6699,3.6590,3.6519,3.6514,3.6636,3.6725,
Yes,3.94,113.18,28.02,4.88,14.92,3.34,1.87,32.12,0x0,0x2,0,0,62.27,4.04,22.50,Yes,5.06,111.96,29.85,102.18,14.90,3.29,1.86,36.37,0x0,0x2,0,0,62.30,4.04,28.10,Manual,0.85,0.00,0.00,0x0,0x0,0x0,0x0,0x1,0x0,0x0,0x0,0x0,0.00,0.00,29.55,0.00,113.05,0.00,0.00,30.66,0.00,113.05,0.00,0.00,28.66,0.00,0.00,0.00,0.00,29.55,0.00,0.00,0.00,0.00,28.77,0.00,113.58,0.00,0.00,29.77,0.00,113.58,-0.183153,1,1,1,3.6292,3.6257,3.6247,3.6272,3.6163,3.6246,3.6252,3.6104,3.6257,3.6305,3.6439,3.6344,3.5903,3.6272,3.6258,3.6273,3.6113,3.6175,3.6367,3.6648,3.6165,3.6155,3.6395,3.6195,3.6261,3.6310,3.6193,3.6090,3.6107,3.6317,3.6408,
Yes,10.99,107.48,28.03,4.88,14.89,3.34,1.87,32.11,0x0,0x2,0,0,148.27,9.62,37.90,Yes,10.20,107.38,29.87,102.18,14.89,3.29,1.86,36.38,0x0,0x2,0,0,147.32,9.55,37.26,Manual,0.93,0.00,0.00,0x0,0x0,0x0,0x0,0x1,0x0,0x0,0x0,0x0,0.00,0.00,29.55,0.00,109.88,0.00,0.00,30.66,0.00,109.88,0.00,0.00,28.66,0.00,0.00,0.00,0.00,29.55,0.00,0.00,0.00,0.00,28.77,0.00,109.50,0.00,0.00,29.77,0.00,109.50,-0.181592,1,1,1,3.5379,3.5252,3.5240,3.5389,3.5220,3.5345,3.5314,3.4996,3.5268,3.5457,3.5488,3.5462,3.4456,3.5302,3.5391,3.5434,3.4907,3.5187,3.5442,3.5685,3.5212,3.5310,3.5543,3.5118,3.5268,3.5463,3.5257,3.5081,3.5048,3.5347,3.5533,
Yes,12.27,106.36,28.04,4.88,14.89,3.34,1.87,32.12,0x0,0x2,0,0,175.98,11.41,37.86,Yes,11.16,106.27,29.88,102.18,14.89,3.29,1.86,36.38,0x0,0x2,0,0,176.03,11.42,36.24,Manual,0.93,0.00,0.00,0x0,0x0,0x0,0x0,0x1,0x0,0x0,0x0,0x0,0.00,0.00,29.55,0.00,108.52,0.00,0.00,30.66,0.00,108.52,0.00,0.00,28.66,0.00,0.00,0.00,0.00,29.55,0.00,0.00,0.00,0.00,28.77,0.00,108.62,0.00,0.00,29.77,0.00,108.62,-0.181659,1,1,1,3.5063,3.5003,3.5008,3.5125,3.4772,3.4843,3.4993,3.4726,3.5041,3.5204,3.5042,3.5157,3.4106,3.5078,3.5134,3.5044,3.4226,3.4844,3.5216,3.5462,3.4927,3.4914,3.5252,3.4857,3.5040,3.5208,3.4815,3.4515,3.4685,3.5113,3.5333,
Yes,15.67,103.21,28.08,4.88,14.90,3.34,1.87,32.11,0x0,0x2,0,0,255.20,16.55,38.25,Yes,15.24,103.08,29.90,102.18,14.89,3.29,1.86,36.36,0x0,0x2,0,0,255.63,16.58,38.11,Manual,0.93,0.00,0.00,0x0,0x0,0x0,0x0,0x1,0x0,0x0,0x0,0x0,0.00,0.00,29.55,0.00,104.60,0.00,0.00,30.66,0.00,104.60,0.00,0.00,28.66,0.00,0.00,0.00,0.00,29.55,0.00,0.00,0.00,0.00,28.77,0.00,105.40,0.00,0.00,29.77,0.00,105.40,-0.182919,1,1,1,3.4304,3.4064,3.4090,3.4376,3.4109,3.4221,3.4213,3.3703,3.4140,3.4486,3.4368,3.4424,3.2772,3.4199,3.4403,3.4445,3.3372,3.4020,3.4364,3.4584,3.4114,3.4313,3.4546,3.3866,3.4139,3.4492,3.4151,3.3812,3.3809,3.4222,3.4537,
Yes,17.12,102.19,28.09,4.88,14.90,3.34,1.87,32.10,0x0,0x2,0,0,281.86,18.28,37.84,Yes,16.32,102.09,29.91,102.18,14.89,3.29,1.86,36.35,0x0,0x2,0,0,280.53,18.19,36.75,Manual,0.94,0.00,0.00,0x0,0x0,0x0,0x0,0x1,0x0,0x0,0x0,0x0,0.00,0.00,29.55,0.00,103.95,0.00,0.00,30.66,0.00,103.95,0.00,0.00,28.66,0.00,0.00,0.00,0.00,29.55,0.00,0.00,0.00,0.00,28.77,0.00,104.64,0.00,0.00,29.88,0.00,104.64,-0.182438,1,1,1,3.4029,3.3760,3.3740,3.4004,3.3732,3.3907,3.3932,3.3364,3.3798,3.4129,3.3988,3.4159,3.2332,3.3861,3.4036,3.4110,3.2957,3.3723,3.4085,3.4252,3.3711,3.3975,3.4288,3.3539,3.3794,3.4137,3.3775,3.3463,3.3489,3.3926,3.4232,
