alive_0,bus_current_0,bus_voltage_0,heatsink_temp_0,motor_temp_0,rail_15v_0,rail_3v3_0,rail_1v9_0,dsp_temp_0,error_flags_0,limit_flags_0,rx_error_count_0,tx_error_count_0,motor_velocity_0,vehicle_velocity_0,phase_current_b_0,alive_1,bus_current_1,bus_voltage_1,heatsink_temp_1,motor_temp_1,rail_15v_1,rail_3v3_1,rail_1v9_1,dsp_temp_1,error_flags_1,limit_flags_1,rx_error_count_1,tx_error_count_1,motor_velocity_1,vehicle_velocity_1,phase_current_b_1,drive_mode,throttle_value,regen_value,brake_pedal_value,cruise_down_on,cruise_up_on,reverse_on,horn_on,headlights_on,rearview_on,power_save_on,left_turn_on,right_turn_on,mppt_current_A0,mppt_power_A0,mppt_temp_A0,mppt_vin_A0,mppt_vout_A0,mppt_current_A1,mppt_power_A1,mppt_temp_A1,mppt_vin_A1,mppt_vout_A1,mppt_current_B0,mppt_power_B0,mppt_temp_B0,mppt_vin_B0,mppt_vout_B0,mppt_current_B1,mppt_power_B1,mppt_temp_B1,mppt_vin_B1,mppt_vout_B1,mppt_current_C0,mppt_power_C0,mppt_temp_C0,mppt_vin_C0,mppt_vout_C0,mppt_current_C1,mppt_power_C1,mppt_temp_C1,mppt_vin_C1,mppt_vout_C1,charge_enabled,highside_contactor_on,lowside_contactor_on,cell1,cell2,cell3,cell4,cell5,cell6,cell7,cell8,cell9,cell10,cell11,cell12,cell13,cell14,cell15,cell16,cell17,cell18,cell19,cell20,cell21,cell22,cell23,cell24,cell25,cell26,cell27,cell28,cell29,cell30,cell31
Yes,0.00,120.93,21.69,4.88,14.92,3.34,1.86,25.09,0x0,0x0,0,0,0.00,0.00,0.00,Yes,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0x0,0x0,0,0,0.00,0.00,0.00,Neutral,0.00,0.00,0.51,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,1,1,3.8964,3.8977,3.8978,3.8989,3.8967,3.8970,3.8951,3.8932,3.8965,3.8972,3.9315,3.8963,3.9208,3.8960,3.8951,3.8942,3.9343,3.9059,3.8952,3.9355,3.8978,3.8820,3.8972,3.8981,3.8980,3.8982,3.8985,3.8982,3.8972,3.8965,3.8968,
Yes,0.00,120.94,21.68,4.88,14.93,3.34,1.86,25.11,0x0,0x0,0,0,0.00,0.00,0.00,Yes,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0x0,0x0,0,0,0.00,0.00,0.00,Neutral,0.00,0.00,0.46,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,1,1,3.8964,3.8976,3.8975,3.8987,3.8969,3.8970,3.8953,3.8932,3.8961,3.8976,3.9316,3.8962,3.9206,3.8958,3.8958,3.8945,3.9348,3.9061,3.8951,3.9353,3.8984,3.8819,3.8973,3.8982,3.8982,3.8980,3.8984,3.8982,3.8973,3.8966,3.8970,
Yes,0.00,120.94,21.68,4.88,14.93,3.34,1.86,25.11,0x0,0x0,0,0,0.00,0.00,0.00,Yes,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0x0,0x0,0,0,0.00,0.00,0.00,Neutral,0.00,0.00,0.48,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,1,1,3.8963,3.8977,3.8982,3.8990,3.8969,3.8969,3.8953,3.8930,3.8971,3.8972,3.9316,3.8963,3.9206,3.8953,3.8954,3.8944,3.9346,3.9060,3.8952,3.9348,3.8979,3.8820,3.8973,3.8982,3.8981,3.8982,3.8984,3.8982,3.8974,3.8965,3.8967,
Yes,0.00,120.93,21.68,4.88,14.93,3.34,1.86,25.13,0x0,0x0,0,0,0.00,0.00,0.00,Yes,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0x0,0x0,0,0,0.00,0.00,0.00,Neutral,0.00,0.00,0.48,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,1,1,3.8965,3.8977,3.8980,3.8989,3.8969,3.8971,3.8953,3.8932,3.8970,3.8973,3.9316,3.8963,3.9207,3.8954,3.8953,3.8943,3.9347,3.9059,3.8953,3.9351,3.8980,3.8820,3.8973,3.8983,3.8981,3.8981,3.8985,3.8983,3.8974,3.8966,3.8969,
Yes,0.00,120.93,21.68,4.88,14.92,3.34,1.86,25.14,0x0,0x0,0,0,0.00,0.00,0.00,Yes,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0x0,0x0,0,0,0.00,0.00,0.00,Neutral,0.00,0.00,0.52,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,1,1,3.8965,3.8977,3.8982,3.8990,3.8969,3.8971,3.8952,3.8932,3.8968,3.8973,3.9316,3.8964,3.9207,3.8955,3.8954,3.8944,3.9348,3.9060,3.8953,3.9352,3.8979,3.8820,3.8975,3.8984,3.8982,3.8983,3.8985,3.8983,3.8975,3.8966,3.8970,
Yes,0.00,120.93,21.68,4.88,14.93,3.34,1.86,25.13,0x0,0x0,0,0,0.00,0.00,0.00,Yes,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0x0,0x0,0,0,0.00,0.00,0.00,Neutral,0.00,0.00,0.48,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,1,1,3.8964,3.8977,3.8981,3.8989,3.8970,3.8970,3.8953,3.8933,3.8970,3.8974,3.9316,3.8964,3.9207,3.8955,3.8955,3.8944,3.9347,3.9061,3.8953,3.9353,3.8979,3.8820,3.8974,3.8984,3.8982,3.8982,3.8986,3.8983,3.8975,3.8967,3.8970,
Yes,0.00,120.93,21.68,4.88,14.93,3.34,1.86,25.13,0x0,0x0,0,0,0.00,0.00,0.00,Yes,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0x0,0x0,0,0,0.00,0.00,0.00,Neutral,0.00,0.00,0.48,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,1,1,3.8964,3.8977,3.8981,3.8989,3.8970,3.8970,3.8953,3.8933,3.8970,3.8974,3.9316,3.8964,3.9207,3.8955,3.8955,3.8944,3.9347,3.9061,3.8953,3.9353,3.8979,3.8820,3.8974,3.8984,3.8982,3.8982,3.8986,3.8983,3.8975,3.8967,3.8970,
Yes,0.00,120.93,21.68,4.88,14.93,3.34,1.86,25.13,0x0,0x0,0,0,0.00,0.00,0.00,Yes,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0x0,0x0,0,0,0.00,0.00,0.00,Neutral,0.00,0.00,0.48,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,1,1,3.8964,3.8977,3.8981,3.8989,3.8970,3.8970,3.8953,3.8933,3.8970,3.8974,3.9316,3.8964,3.9207,3.8955,3.8955,3.8944,3.9347,3.9061,3.8953,3.9353,3.8979,3.8820,3.8974,3.8984,3.8982,3.8982,3.8986,3.8983,3.8975,3.8967,3.8970,
Yes,0.00,120.94,21.67,4.88,14.93,3.34,1.86,25.14,0x0,0x0,0,0,0.00,0.00,0.00,Yes,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0x0,0x0,0,0,0.00,0.00,0.00,Neutral,0.00,0.00,0.48,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,1,1,3.8965,3.8978,3.8982,3.8990,3.8969,3.8971,3.8954,3.8934,3.8971,3.8975,3.9317,3.8964,3.9207,3.8956,3.8954,3.8944,3.9348,3.9060,3.8953,3.9352,3.8979,3.8820,3.8975,3.8984,3.8982,3.8982,3.8985,3.8983,3.8975,3.8966,3.8970,
Yes,0.00,120.93,21.67,4.88,14.92,3.34,1.86,25.14,0x0,0x0,0,0,0.00,0.00,0.00,Yes,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0x0,0x0,0,0,0.00,0.00,0.00,Neutral,0.00,0.00,0.49,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,1,1,3.8965,3.8978,3.8982,3.8990,3.8970,3.8971,3.8953,3.8933,3.8970,3.8973,3.9316,3.8964,3.9208,3.8956,3.8954,3.8945,3.9348,3.9060,3.8953,3.9353,3.8980,3.8820,3.8975,3.8985,3.8983,3.8982,3.8985,3.8984,3.8975,3.8966,3.8970,
Yes,0.00,120.94,21.67,4.88,14.93,3.34,1.86,25.15,0x0,0x0,0,0,0.00,0.00,0.00,Yes,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0x0,0x0,0,0,0.00,0.00,0.00,Neutral,0.00,0.00,0.46,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,1,1,3.8965,3.8978,3.8982,3.8990,3.8970,3.8971,3.8954,3.8933,3.8970,3.8973,3.9316,3.8965,3.9208,3.8955,3.8954,3.8945,3.9348,3.9060,3.8954,3.9353,3.8980,3.8821,3.8975,3.8985,3.8982,3.8982,3.8986,3.8983,3.8975,3.8966,3.8970,
Yes,0.00,120.94,21.67,4.88,14.93,3.34,1.86,25.16,0x0,0x0,0,0,0.00,0.00,0.00,Yes,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0x0,0x0,0,0,0.00,0.00,0.00,Neutral,0.00,0.00,0.48,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,1,1,3.8965,3.8978,3.8982,3.8990,3.8970,3.8971,3.8955,3.8933,3.8971,3.8975,3.9317,3.8965,3.9208,3.8955,3.8955,3.8945,3.9349,3.9061,3.8954,3.9354,3.8980,3.8821,3.8975,3.8985,3.8983,3.8982,3.8985,3.8983,3.8976,3.8967,3.8971,
Yes,0.00,120.94,21.66,4.88,14.93,3.34,1.86,25.15,0x0,0x0,0,0,0.00,0.00,0.00,Yes,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0x0,0x0,0,0,0.00,0.00,0.00,Neutral,0.00,0.00,0.45,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,1,1,3.8966,3.8979,3.8983,3.8991,3.8970,3.8971,3.8954,3.8932,3.8971,3.8975,3.9317,3.8964,3.9208,3.8955,3.8955,3.8945,3.9349,3.9060,3.8954,3.9353,3.8981,3.8821,3.8975,3.8985,3.8983,3.8982,3.8986,3.8984,3.8975,3.8967,3.8971,
Yes,0.00,120.94,21.66,4.88,14.93,3.34,1.86,25.16,0x0,0x0,0,0,0.00,0.00,0.00,Yes,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0x0,0x0,0,0,0.00,0.00,0.00,Neutral,0.00,0.00,0.46,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,1,1,3.8966,3.8978,3.8983,3.8991,3.8971,3.8971,3.8953,3.8932,3.8970,3.8973,3.9316,3.8964,3.9208,3.8957,3.8956,3.8946,3.9349,3.9061,3.8954,3.9354,3.8980,3.8821,3.8975,3.8985,3.8983,3.8982,3.8986,3.8985,3.8975,3.8968,3.8971,
Yes,0.00,120.94,21.65,4.88,14.92,3.34,1.86,25.17,0x0,0x0,0,0,0.00,0.00,0.00,Yes,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0x0,0x0,0,0,0.00,0.00,0.00,Neutral,0.00,0.00,0.46,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,1,1,3.8966,3.8979,3.8984,3.8991,3.8971,3.8972,3.8955,3.8933,3.8971,3.8974,3.9317,3.8965,3.9208,3.8957,3.8955,3.8945,3.9349,3.9061,3.8954,3.9354,3.8981,3.8821,3.8975,3.8986,3.8983,3.8983,3.8986,3.8984,3.8975,3.8967,3.8970,
Yes,0.00,120.92,21.65,4.88,14.92,3.34,1.86,25.19,0x0,0x0,0,0,0.00,0.00,0.00,Yes,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0x0,0x0,0,0,0.00,0.00,0.00,Neutral,0.00,0.00,0.45,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,1,1,3.8966,3.8979,3.8983,3.8992,3.8972,3.8972,3.8954,3.8933,3.8970,3.8975,3.9318,3.8965,3.9209,3.8957,3.8955,3.8945,3.9349,3.9062,3.8954,3.9354,3.8981,3.8821,3.8976,3.8986,3.8984,3.8983,3.8987,3.8985,3.8976,3.8968,3.8972,
Yes,0.00,120.92,21.65,4.88,14.92,3.34,1.86,25.18,0x0,0x0,0,0,0.00,0.00,0.00,Yes,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0x0,0x0,0,0,0.00,0.00,0.00,Neutral,0.00,0.00,0.46,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,1,1,3.8966,3.8979,3.8984,3.8991,3.8971,3.8972,3.8954,3.8935,3.8971,3.8975,3.9318,3.8965,3.9208,3.8956,3.8956,3.8946,3.9350,3.9061,3.8955,3.9354,3.8981,3.8822,3.8976,3.8986,3.8984,3.8984,3.8987,3.8985,3.8976,3.8967,3.8972,
