alive_0,bus_current_0,bus_voltage_0,heatsink_temp_0,motor_temp_0,rail_15v_0,rail_3v3_0,rail_1v9_0,dsp_temp_0,error_flags_0,limit_flags_0,rx_error_count_0,tx_error_count_0,motor_velocity_0,vehicle_velocity_0,phase_current_b_0,alive_1,bus_current_1,bus_voltage_1,heatsink_temp_1,motor_temp_1,rail_15v_1,rail_3v3_1,rail_1v9_1,dsp_temp_1,error_flags_1,limit_flags_1,rx_error_count_1,tx_error_count_1,motor_velocity_1,vehicle_velocity_1,phase_current_b_1,drive_mode,throttle_value,regen_value,brake_pedal_value,cruise_down_on,cruise_up_on,reverse_on,horn_on,headlights_on,rearview_on,power_save_on,left_turn_on,right_turn_on,mppt_current_A0,mppt_power_A0,mppt_temp_A0,mppt_vin_A0,mppt_vout_A0,mppt_current_A1,mppt_power_A1,mppt_temp_A1,mppt_vin_A1,mppt_vout_A1,mppt_current_B0,mppt_power_B0,mppt_temp_B0,mppt_vin_B0,mppt_vout_B0,mppt_current_B1,mppt_power_B1,mppt_temp_B1,mppt_vin_B1,mppt_vout_B1,mppt_current_C0,mppt_power_C0,mppt_temp_C0,mppt_vin_C0,mppt_vout_C0,mppt_current_C1,mppt_power_C1,mppt_temp_C1,mppt_vin_C1,mppt_vout_C1,battery_current,charge_enabled,highside_contactor_on,lowside_contactor_on,cell1,cell2,cell3,cell4,cell5,cell6,cell7,cell8,cell9,cell10,cell11,cell12,cell13,cell14,cell15,cell16,cell17,cell18,cell19,cell20,cell21,cell22,cell23,cell24,cell25,cell26,cell27,cell28,cell29,cell30,cell31
Yes,0.00,117.49,34.12,4.88,14.89,3.34,1.87,38.32,0x0,0x0,0,0,11.83,0.77,0.00,Yes,0.00,117.44,35.96,101.90,14.90,3.30,1.86,41.96,0x0,0x0,0,0,11.25,0.73,0.00,Manual,0.00,0.00,0.00,0x0,0x0,0x0,0x0,0x1,0x0,0x0,0x0,0x0,0.00,0.03,36.88,30.34,118.92,0.22,5.87,38.21,26.10,118.92,0.00,0.00,34.99,0.00,119.57,0.00,0.00,36.66,24.95,119.57,0.29,1.31,36.66,4.48,119.41,0.03,0.53,37.88,21.12,119.41,-0.181790,1,1,1,3.7836,3.7850,3.7852,3.7861,3.7838,3.7842,3.7821,3.7814,3.7838,3.7842,3.8164,3.7837,3.8037,3.7816,3.7820,3.7802,3.8197,3.7848,3.7821,3.8210,3.7852,3.7685,3.7842,3.7849,3.7843,3.7847,3.7855,3.7851,3.7835,3.7830,3.7829,
Yes,0.00,117.50,34.11,4.88,14.92,3.34,1.87,38.33,0x0,0x0,0,0,-0.89,-0.06,0.00,Yes,0.00,117.45,35.96,101.90,14.91,3.30,1.86,41.99,0x0,0x0,0,0,-0.79,-0.05,0.00,Neutral,0.00,0.00,0.02,0x0,0x0,0x0,0x0,0x1,0x0,0x0,0x0,0x0,0.22,6.04,36.88,27.71,118.96,0.25,3.77,38.21,15.15,118.96,0.00,0.00,34.99,0.00,119.57,0.00,0.00,36.66,25.10,119.57,0.29,1.35,36.66,4.58,119.41,0.04,0.86,37.88,20.86,119.41,-0.182573,1,1,1,3.7833,3.7847,3.7849,3.7859,3.7835,3.7837,3.7817,3.7809,3.7834,3.7841,3.8161,3.7834,3.8032,3.7813,3.7819,3.7801,3.8193,3.7844,3.7820,3.8208,3.7851,3.7684,3.7838,3.7844,3.7839,3.7844,3.7851,3.7847,3.7829,3.7825,3.7826,
Yes,0.00,117.50,34.10,4.88,14.92,3.34,1.87,38.33,0x0,0x0,0,0,0.00,0.00,0.00,Yes,0.00,117.44,35.95,101.90,14.91,3.30,1.86,41.98,0x0,0x0,0,0,0.00,0.00,0.00,Neutral,0.00,0.00,0.17,0x0,0x0,0x0,0x0,0x1,0x0,0x0,0x0,0x0,0.00,0.00,36.88,30.28,118.92,0.23,6.14,38.21,26.91,118.92,0.00,0.00,34.99,0.00,119.57,0.00,0.00,36.66,25.12,119.57,0.30,1.30,36.66,4.38,119.41,0.04,0.83,37.88,20.86,119.41,-0.183610,1,1,1,3.7834,3.7848,3.7850,3.7860,3.7846,3.7852,3.7818,3.7810,3.7835,3.7840,3.8170,3.7835,3.8034,3.7814,3.7819,3.7810,3.8210,3.7847,3.7821,3.8208,3.7851,3.7692,3.7840,3.7847,3.7842,3.7846,3.7863,3.7862,3.7832,3.7829,3.7828,
Yes,0.00,117.50,34.10,4.88,14.92,3.34,1.87,38.33,0x0,0x0,0,0,0.00,0.00,0.00,Yes,0.00,117.43,35.95,101.90,14.91,3.30,1.86,41.99,0x0,0x0,0,0,0.00,0.00,0.00,Neutral,0.00,0.00,0.22,0x0,0x0,0x0,0x0,0x1,0x0,0x0,0x0,0x0,0.19,5.34,36.77,27.81,118.92,0.26,3.20,38.21,12.50,118.92,0.00,0.00,34.99,0.00,119.57,0.00,0.00,36.66,25.12,119.57,0.30,1.45,36.66,4.89,119.41,0.02,0.42,37.88,21.12,119.41,-0.181917,1,1,1,3.7848,3.7863,3.7867,3.7877,3.7854,3.7855,3.7833,3.7829,3.7853,3.7858,3.8179,3.7849,3.8056,3.7832,3.7835,3.7818,3.8217,3.7863,3.7835,3.8225,3.7869,3.7699,3.7854,3.7863,3.7858,3.7862,3.7871,3.7867,3.7848,3.7842,3.7840,
Yes,0.00,117.50,34.09,4.88,14.92,3.34,1.87,38.33,0x0,0x0,0,0,0.00,0.00,0.00,Yes,0.00,117.45,35.95,101.90,14.91,3.30,1.86,41.99,0x0,0x0,0,0,0.00,0.00,0.00,Neutral,0.00,0.00,0.18,0x0,0x0,0x0,0x0,0x1,0x0,0x0,0x0,0x0,0.22,5.89,36.77,26.91,118.96,0.22,5.10,38.21,22.67,118.96,0.00,0.00,34.99,0.00,119.57,0.00,0.00,36.66,25.12,119.57,0.29,1.20,36.66,4.09,119.41,0.05,0.96,37.88,20.77,119.41,-0.182664,1,1,1,3.7830,3.7844,3.7846,3.7857,3.7833,3.7836,3.7817,3.7808,3.7833,3.7838,3.8159,3.7832,3.8027,3.7811,3.7817,3.7797,3.8189,3.7843,3.7817,3.8206,3.7848,3.7681,3.7837,3.7843,3.7838,3.7841,3.7849,3.7844,3.7829,3.7824,3.7825,
Yes,0.00,117.49,34.08,4.88,14.92,3.34,1.87,38.33,0x0,0x0,0,0,0.00,0.00,0.00,Yes,0.00,117.44,35.94,101.90,14.91,3.30,1.86,41.98,0x0,0x0,0,0,0.00,0.00,0.00,Neutral,0.00,0.00,0.23,0x0,0x0,0x0,0x0,0x1,0x0,0x0,0x0,0x0,0.22,5.87,36.77,27.07,118.98,0.25,3.80,38.10,15.06,118.92,0.00,0.00,34.99,0.00,119.57,0.00,0.00,36.66,25.12,119.57,0.28,1.20,36.66,4.20,119.41,0.03,0.71,37.88,20.96,119.41,-0.183030,1,1,1,3.7830,3.7850,3.7857,3.7871,3.7850,3.7856,3.7814,3.7813,3.7842,3.7851,3.8177,3.7832,3.8036,3.7822,3.7830,3.7815,3.8216,3.7843,3.7823,3.8216,3.7863,3.7698,3.7836,3.7849,3.7849,3.7856,3.7868,3.7867,3.7828,3.7829,3.7833,
Yes,0.00,117.49,34.08,4.88,14.92,3.34,1.87,38.35,0x0,0x0,0,0,0.00,0.00,0.00,Yes,0.00,117.44,35.93,101.90,14.91,3.30,1.86,41.98,0x0,0x0,0,0,0.00,0.00,0.00,Neutral,0.00,0.00,0.22,0x0,0x0,0x0,0x0,0x1,0x0,0x0,0x0,0x0,0.00,0.12,36.77,30.34,118.92,0.23,5.21,38.21,22.55,118.92,0.00,0.00,34.99,0.00,119.57,0.00,0.00,36.66,25.10,119.57,0.29,1.14,36.66,3.97,119.41,0.03,0.69,37.88,20.90,119.41,-0.182696,1,1,1,3.7851,3.7867,3.7869,3.7879,3.7855,3.7857,3.7835,3.7831,3.7854,3.7859,3.8181,3.7852,3.8062,3.7833,3.7836,3.7819,3.8218,3.7866,3.7838,3.8228,3.7870,3.7702,3.7856,3.7866,3.7860,3.7861,3.7873,3.7867,3.7853,3.7848,3.7845,
Yes,0.00,117.48,34.07,4.88,14.92,3.34,1.87,38.35,0x0,0x0,0,0,0.00,0.00,0.00,Yes,0.00,117.45,35.93,101.90,14.91,3.30,1.86,41.98,0x0,0x0,0,0,0.00,0.00,0.00,Neutral,0.00,0.00,0.20,0x0,0x0,0x0,0x0,0x1,0x0,0x0,0x0,0x0,0.20,5.65,36.77,28.54,118.92,0.28,2.36,38.10,8.52,118.94,0.00,0.00,34.99,0.00,119.57,0.00,0.00,36.66,25.12,119.57,0.29,1.25,36.66,4.36,119.41,0.03,0.71,37.88,20.86,119.41,-0.183177,1,1,1,3.7831,3.7845,3.7847,3.7857,3.7833,3.7836,3.7814,3.7808,3.7834,3.7839,3.8159,3.7831,3.8028,3.7812,3.7817,3.7800,3.8189,3.7843,3.7817,3.8206,3.7848,3.7682,3.7838,3.7843,3.7837,3.7843,3.7851,3.7843,3.7827,3.7825,3.7823,
Yes,0.00,117.49,34.05,4.88,14.92,3.34,1.87,38.35,0x0,0x0,0,0,0.00,0.00,0.00,Yes,0.00,117.44,35.92,101.90,14.91,3.30,1.86,41.98,0x0,0x0,0,0,0.00,0.00,0.00,Neutral,0.00,0.00,0.17,0x0,0x0,0x0,0x0,0x1,0x0,0x0,0x0,0x0,0.19,5.32,36.77,27.87,118.92,0.23,4.93,38.10,21.83,118.92,0.00,0.00,35.10,0.00,119.57,0.00,0.00,36.66,25.12,119.57,0.28,1.06,36.55,3.79,119.41,0.03,0.57,37.88,21.02,119.41,-0.182943,1,1,1,3.7851,3.7865,3.7867,3.7877,3.7854,3.7858,3.7836,3.7831,3.7853,3.7858,3.8180,3.7851,3.8060,3.7832,3.7837,3.7819,3.8219,3.7866,3.7838,3.8228,3.7871,3.7702,3.7855,3.7865,3.7860,3.7862,3.7872,3.7868,3.7852,3.7845,3.7845,
Yes,0.00,117.49,34.04,4.88,14.92,3.34,1.87,38.33,0x0,0x0,0,0,0.00,0.00,0.00,Yes,0.00,117.44,35.91,101.90,14.91,3.30,1.86,41.98,0x0,0x0,0,0,0.00,0.00,0.00,Neutral,0.00,0.00,0.18,0x0,0x0,0x0,0x0,0x1,0x0,0x0,0x0,0x0,0.22,5.91,36.77,27.38,118.94,0.27,2.86,38.10,10.78,118.94,0.00,0.00,34.99,0.00,119.57,0.00,0.00,36.66,25.04,119.57,0.28,1.10,36.66,3.95,119.41,0.03,0.67,37.88,20.98,119.41,-0.183201,1,1,1,3.7830,3.7844,3.7846,3.7858,3.7831,3.7836,3.7814,3.7806,3.7832,3.7839,3.8157,3.7831,3.8027,3.7810,3.7815,3.7798,3.8189,3.7843,3.7817,3.8206,3.7848,3.7682,3.7837,3.7842,3.7837,3.7842,3.7849,3.7843,3.7828,3.7824,3.7825,
Yes,0.00,117.49,34.04,4.88,14.92,3.34,1.87,38.33,0x0,0x0,0,0,0.00,0.00,0.00,Yes,0.00,117.45,35.91,101.90,14.91,3.30,1.86,41.98,0x0,0x0,0,0,0.00,0.00,0.00,Neutral,0.00,0.00,0.18,0x0,0x0,0x0,0x0,0x1,0x0,0x0,0x0,0x0,0.00,0.00,36.77,30.32,118.92,0.22,6.80,38.10,30.34,118.92,0.00,0.00,35.10,0.00,119.57,0.00,0.00,36.66,25.08,119.57,0.30,1.27,36.55,4.30,119.41,0.04,0.82,37.88,20.90,119.41,-0.182760,1,1,1,3.7841,3.7861,3.7865,3.7877,3.7853,3.7859,3.7826,3.7825,3.7852,3.7858,3.8181,3.7842,3.8051,3.7829,3.7834,3.7817,3.8219,3.7856,3.7832,3.8224,3.7868,3.7701,3.7846,3.7859,3.7856,3.7861,3.7873,3.7869,3.7839,3.7841,3.7843,
Yes,0.00,117.50,34.03,4.88,14.92,3.34,1.87,38.32,0x0,0x0,0,0,-1.14,-0.07,0.00,Yes,0.09,117.47,35.90,101.90,14.91,3.30,1.86,41.96,0x0,0x2,0,0,-1.00,-0.06,1.52,Manual,0.11,0.00,0.00,0x0,0x0,0x0,0x0,0x1,0x0,0x0,0x0,0x0,0.00,0.06,36.77,30.30,118.88,0.22,6.51,38.10,29.20,118.88,0.00,0.00,34.99,0.00,119.57,0.00,0.00,36.66,25.08,119.57,0.29,1.19,36.66,4.09,119.41,0.03,0.71,37.88,20.94,119.41,-0.182354,1,1,1,3.7836,3.7849,3.7854,3.7863,3.7838,3.7841,3.7822,3.7814,3.7839,3.7842,3.8164,3.7837,3.8036,3.7817,3.7822,3.7804,3.8195,3.7849,3.7823,3.8211,3.7855,3.7687,3.7841,3.7847,3.7842,3.7847,3.7854,3.7849,3.7834,3.7830,3.7830,
Yes,2.71,115.40,34.02,4.88,14.90,3.34,1.87,38.32,0x0,0x2,0,0,9.36,0.61,29.03,Yes,3.10,115.29,35.89,101.90,14.90,3.30,1.86,41.95,0x0,0x2,0,0,8.47,0.55,29.19,Manual,0.72,0.00,0.00,0x0,0x0,0x0,0x0,0x1,0x0,0x0,0x0,0x0,0.00,0.00,36.77,30.36,116.70,0.24,6.26,38.10,26.18,116.70,0.00,0.00,34.99,0.00,117.39,0.00,0.00,36.66,25.12,117.39,0.31,1.35,36.55,4.38,117.12,0.03,0.67,37.88,20.94,117.12,-0.183113,1,1,1,3.7236,3.7213,3.7211,3.7268,3.7189,3.7215,3.7207,3.7133,3.7210,3.7271,3.7502,3.7258,3.7119,3.7205,3.7247,3.7217,3.7369,3.7199,3.7239,3.7599,3.7213,3.7100,3.7288,3.7177,3.7215,3.7275,3.7205,3.7146,3.7137,3.7222,3.7279,
Yes,3.59,114.66,34.02,4.88,14.89,3.34,1.87,38.31,0x0,0x2,0,0,28.43,1.84,30.64,Yes,4.92,114.05,35.89,101.90,14.90,3.30,1.86,41.94,0x0,0x2,0,0,26.03,1.69,31.55,Manual,0.88,0.00,0.00,0x0,0x0,0x0,0x0,0x1,0x0,0x0,0x0,0x0,0.00,0.00,36.77,30.99,114.74,0.25,6.35,38.10,25.59,114.74,0.00,0.00,35.10,0.00,115.51,0.00,0.00,36.66,25.44,115.51,0.22,0.89,36.55,3.97,115.23,0.03,0.53,37.88,21.30,115.23,-0.182891,1,1,1,3.7072,3.7042,3.7037,3.7105,3.7025,3.7054,3.7039,3.6940,3.7044,3.7118,3.7336,3.7096,3.6880,3.7036,3.7081,3.7075,3.7154,3.7021,3.7082,3.7429,3.7042,3.6949,3.7133,3.6999,3.7045,3.7120,3.7038,3.6968,3.6946,3.7057,3.7127,
Yes,8.91,110.55,34.00,4.88,14.89,3.34,1.87,38.30,0x0,0x2,0,0,105.63,6.85,38.54,Yes,8.88,110.47,35.87,102.18,14.90,3.30,1.86,41.95,0x0,0x2,0,0,100.41,6.51,38.33,Manual,0.88,0.00,0.00,0x0,0x0,0x0,0x0,0x1,0x0,0x0,0x0,0x0,0.28,7.49,36.77,26.48,113.23,0.62,9.35,38.21,15.00,113.23,0.00,0.00,34.99,0.00,113.47,1.03,27.69,36.66,26.91,113.47,3.37,33.41,36.55,9.91,113.35,0.10,2.23,37.88,22.53,113.35,-0.182645,1,1,1,3.6213,3.6131,3.6131,3.6204,3.5987,3.6058,3.6156,3.5939,3.6152,3.6257,3.6290,3.6268,3.5576,3.6164,3.6199,3.6152,3.5815,3.6096,3.6251,3.6568,3.6069,3.6024,3.6333,3.6038,3.6156,3.6266,3.6013,3.5848,3.5945,3.6185,3.6344,
Yes,0.00,117.95,34.00,4.88,14.92,3.34,1.87,38.31,0x0,0x0,0,0,105.44,6.84,0.00,Yes,0.00,117.92,35.88,101.90,14.91,3.30,1.86,41.96,0x0,0x0,0,0,102.89,6.67,0.00,Manual,0.00,0.00,0.00,0x0,0x0,0x0,0x0,0x1,0x0,0x0,0x0,0x0,2.23,67.10,36.77,30.09,119.39,2.71,31.87,37.99,11.76,119.39,0.00,0.00,35.10,0.00,119.90,0.00,0.00,36.77,25.12,119.90,2.88,36.73,36.55,12.74,119.90,0.72,11.27,37.88,15.61,119.90,-0.183312,1,1,1,3.7955,3.7976,3.7984,3.7984,3.7978,3.7976,3.7944,3.7956,3.7967,3.7958,3.8297,3.7951,3.8236,3.7942,3.7940,3.7922,3.8383,3.7978,3.7939,3.8333,3.7990,3.7807,3.7951,3.7987,3.7973,3.7963,3.7994,3.8005,3.7977,3.7954,3.7939,
Yes,0.03,117.87,34.00,4.88,14.92,3.34,1.87,38.32,0x0,0x2,0,0,98.92,6.41,5.35,Yes,-0.01,117.77,35.87,101.90,14.91,3.30,1.86,41.95,0x0,0x2,0,0,96.72,6.27,4.71,Manual,0.00,0.14,0.00,0x0,0x0,0x0,0x0,0x1,0x0,0x0,0x0,0x0,0.71,13.80,36.77,19.55,119.24,0.22,6.20,38.21,27.56,119.24,0.00,0.00,35.10,0.00,119.84,0.00,0.00,36.77,24.30,119.84,0.24,2.57,36.55,10.84,119.65,0.02,0.47,37.99,20.26,119.65,-0.183459,1,1,1,3.7902,3.7918,3.7926,3.7932,3.7918,3.7922,3.7891,3.7891,3.7910,3.7908,3.8240,3.7898,3.8147,3.7886,3.7888,3.7872,3.8305,3.7919,3.7885,3.8278,3.7931,3.7757,3.7900,3.7925,3.7916,3.7912,3.7938,3.7939,3.7912,3.7897,3.7889,
Yes,0.57,117.62,34.01,4.88,14.89,3.34,1.87,38.31,0x0,0x2,0,0,67.57,4.38,22.92,Yes,0.52,117.54,35.87,102.18,14.90,3.30,1.86,41.96,0x0,0x2,0,0,67.31,4.36,22.90,Manual,0.00,0.60,0.00,0x0,0x0,0x0,0x0,0x1,0x0,0x0,0x0,0x0,0.00,0.06,36.77,30.24,119.00,0.26,2.92,38.10,11.39,119.00,0.00,0.00,34.99,0.00,119.77,1.33,35.66,36.66,26.81,119.77,3.64,25.40,36.66,6.97,119.47,0.02,0.39,37.88,20.43,119.47,-0.182835,1,1,1,3.7896,3.7916,3.7906,3.7921,3.7927,3.7926,3.7885,3.7888,3.7890,3.7899,3.8248,3.7896,3.8143,3.7869,3.7879,3.7879,3.8311,3.7916,3.7885,3.8263,3.7919,3.7765,3.7895,3.7921,3.7898,3.7903,3.7946,3.7945,3.7907,3.7895,3.7875,
Yes,1.19,117.23,34.01,4.88,14.89,3.34,1.87,38.29,0x0,0x2,0,0,42.57,2.76,26.61,Yes,1.15,117.17,35.87,102.18,14.90,3.30,1.86,41.95,0x0,0x2,0,0,43.16,2.80,25.97,Manual,0.00,0.60,0.00,0x0,0x0,0x0,0x0,0x1,0x0,0x0,0x0,0x0,0.24,5.83,36.77,24.18,118.80,0.28,4.46,38.10,15.72,118.80,0.00,0.00,34.99,0.00,119.41,2.54,65.81,36.66,25.93,119.41,3.50,33.89,36.66,9.68,119.12,0.94,19.09,37.88,20.24,119.12,-0.182835,1,1,1,3.7780,3.7794,3.7809,3.7836,3.7792,3.7776,3.7763,3.7754,3.7795,3.7817,3.8116,3.7781,3.7964,3.7773,3.7795,3.7761,3.8115,3.7789,3.7772,3.8166,3.7828,3.7643,3.7788,3.7793,3.7804,3.7820,3.7808,3.7779,3.7770,3.7778,3.7793,
Yes,0.00,118.30,34.01,4.88,14.89,3.34,1.87,38.29,0x0,0x0,0,0,29.09,1.89,0.00,Yes,0.00,118.27,35.85,101.90,14.90,3.30,1.86,41.95,0x0,0x0,0,0,29.17,1.89,0.00,Manual,0.00,0.00,0.00,0x0,0x0,0x0,0x0,0x1,0x1,0x0,0x0,0x0,0.41,10.11,36.77,24.83,119.90,2.68,64.58,38.10,24.08,119.90,0.00,0.00,34.99,0.00,120.55,4.10,95.85,36.66,23.40,120.55,3.58,27.68,36.66,7.74,120.24,3.15,55.23,37.88,17.55,120.24,-0.182907,1,1,1,3.8068,3.8093,3.8096,3.8087,3.8082,3.8075,3.8060,3.8083,3.8076,3.8058,3.8406,3.8062,3.8396,3.8051,3.8042,3.8018,3.8512,3.8100,3.8046,3.8442,3.8099,3.7903,3.8056,3.8108,3.8083,3.8063,3.8099,3.8114,3.8108,3.8065,3.8037,
Yes,0.00,118.50,34.01,4.88,14.92,3.34,1.87,38.29,0x0,0x0,0,0,25.83,1.68,0.00,Yes,0.00,118.48,35.87,101.90,14.91,3.30,1.86,41.95,0x0,0x0,0,0,25.90,1.68,0.00,Manual,0.00,0.00,0.00,0x0,0x0,0x0,0x0,0x1,0x1,0x0,0x0,0x0,2.32,70.19,36.66,30.32,120.18,2.89,82.45,37.88,28.50,120.18,0.00,0.00,34.99,0.00,120.77,3.92,93.71,36.66,23.93,120.77,3.32,46.14,36.66,13.92,120.55,3.20,48.61,37.88,15.19,120.55,-0.182923,1,1,1,3.8125,3.8152,3.8155,3.8143,3.8141,3.8130,3.8119,3.8147,3.8132,3.8110,3.8465,3.8116,3.8479,3.8107,3.8094,3.8072,3.8585,3.8163,3.8102,3.8499,3.8157,3.7956,3.8109,3.8171,3.8140,3.8115,3.8155,3.8176,3.8171,3.8122,3.8087,
Yes,0.00,118.62,34.01,4.88,14.92,3.34,1.87,38.29,0x0,0x0,0,0,20.90,1.36,0.00,Yes,0.00,118.55,35.87,101.90,14.91,3.30,1.86,41.96,0x0,0x0,0,0,20.74,1.34,0.00,Manual,0.00,0.00,0.00,0x0,0x0,0x0,0x0,0x1,0x1,0x0,0x0,0x0,2.67,74.58,36.66,27.89,120.22,2.83,87.88,37.88,31.03,120.22,0.00,0.00,34.99,0.00,120.88,4.18,95.37,36.77,22.81,120.88,3.28,45.95,36.55,14.00,120.51,3.14,55.43,37.66,17.63,120.51,-0.182728,1,1,1,3.8136,3.8170,3.8179,3.8171,3.8183,3.8176,3.8130,3.8167,3.8159,3.8138,3.8509,3.8128,3.8505,3.8131,3.8123,3.8107,3.8646,3.8175,3.8119,3.8522,3.8189,3.7994,3.8120,3.8190,3.8165,3.8141,3.8198,3.8228,3.8185,3.8139,3.8110,
Yes,0.00,118.59,34.02,4.88,14.93,3.34,1.87,38.28,0x0,0x0,0,0,16.03,1.04,0.00,Yes,0.00,118.54,35.87,101.90,14.91,3.30,1.86,41.96,0x0,0x0,0,0,15.86,1.03,0.00,Manual,0.00,0.00,0.00,0x0,0x0,0x0,0x0,0x1,0x1,0x0,0x0,0x0,2.69,74.97,36.66,27.87,120.22,2.86,85.05,37.99,29.77,120.22,0.00,0.00,34.88,0.00,120.84,3.97,94.12,36.66,23.69,120.84,3.29,45.83,36.66,13.94,120.55,3.06,56.11,37.88,18.33,120.55,-0.183026,1,1,1,3.8123,3.8157,3.8163,3.8154,3.8157,3.8150,3.8116,3.8150,3.8142,3.8121,3.8483,3.8114,3.8483,3.8116,3.8107,3.8087,3.8613,3.8159,3.8103,3.8506,3.8170,3.7972,3.8108,3.8174,3.8148,3.8125,3.8173,3.8198,3.8170,3.8123,3.8094,
Yes,0.38,118.63,34.02,4.88,14.93,3.34,1.87,38.28,0x0,0x2,0,0,11.53,0.75,0.13,Yes,0.37,118.58,35.87,101.90,14.91,3.30,1.86,41.96,0x0,0x2,0,0,11.44,0.74,0.60,Manual,0.01,0.00,0.00,0x0,0x0,0x0,0x0,0x1,0x1,0x0,0x0,0x0,2.60,74.92,36.66,28.87,120.16,2.75,89.38,37.88,32.48,120.16,0.00,0.00,34.99,0.00,120.79,4.12,95.03,36.77,23.06,120.79,3.26,46.54,36.66,14.29,120.55,3.02,57.52,37.88,19.02,120.55,-0.182378,1,1,1,3.8142,3.8174,3.8177,3.8165,3.8166,3.8154,3.8136,3.8169,3.8156,3.8133,3.8493,3.8134,3.8506,3.8129,3.8119,3.8094,3.8615,3.8181,3.8118,3.8520,3.8179,3.7979,3.8126,3.8191,3.8163,3.8136,3.8182,3.8204,3.8193,3.8141,3.8110,
Yes,0.64,118.63,34.02,4.88,14.89,3.34,1.87,38.28,0x0,0x2,0,0,7.46,0.48,1.01,Yes,0.58,118.57,35.87,101.90,14.90,3.30,1.86,41.94,0x0,0x2,0,0,7.37,0.48,0.89,Manual,0.07,0.00,0.00,0x0,0x0,0x0,0x0,0x1,0x1,0x0,0x0,0x0,2.70,74.73,36.77,27.73,120.10,2.82,86.57,37.88,30.70,120.10,0.00,0.00,34.99,0.00,120.77,4.14,94.71,36.88,22.85,120.77,3.30,45.67,36.66,13.86,120.55,3.06,56.23,37.99,18.37,120.55,-0.182414,1,1,1,3.8141,3.8180,3.8187,3.8177,3.8183,3.8175,3.8134,3.8176,3.8166,3.8146,3.8509,3.8133,3.8514,3.8140,3.8131,3.8109,3.8643,3.8180,3.8125,3.8531,3.8195,3.7994,3.8126,3.8198,3.8172,3.8150,3.8199,3.8224,3.8190,3.8146,3.8118,
Yes,0.72,118.61,34.03,4.88,14.88,3.34,1.87,38.27,0x0,0x2,0,0,5.16,0.33,3.40,Yes,0.69,118.54,35.87,101.90,14.90,3.30,1.86,41.94,0x0,0x2,0,0,5.15,0.33,4.17,Manual,0.12,0.00,0.00,0x0,0x0,0x0,0x0,0x1,0x1,0x0,0x0,0x0,2.62,74.88,36.77,28.56,120.06,2.76,89.47,37.88,32.44,120.06,0.00,0.00,34.99,0.00,120.71,4.01,94.39,36.88,23.55,120.71,3.25,46.51,36.66,14.31,120.55,2.99,59.72,37.88,19.96,120.55,-0.182935,1,1,1,3.8133,3.8166,3.8172,3.8161,3.8165,3.8155,3.8125,3.8159,3.8151,3.8127,3.8491,3.8123,3.8491,3.8123,3.8114,3.8092,3.8617,3.8170,3.8113,3.8516,3.8176,3.7978,3.8117,3.8184,3.8157,3.8136,3.8181,3.8202,3.8180,3.8135,3.8103,
