alive_0,bus_current_0,bus_voltage_0,heatsink_temp_0,motor_temp_0,rail_15v_0,rail_3v3_0,rail_1v9_0,dsp_temp_0,error_flags_0,limit_flags_0,rx_error_count_0,tx_error_count_0,motor_velocity_0,vehicle_velocity_0,phase_current_b_0,alive_1,bus_current_1,bus_voltage_1,heatsink_temp_1,motor_temp_1,rail_15v_1,rail_3v3_1,rail_1v9_1,dsp_temp_1,error_flags_1,limit_flags_1,rx_error_count_1,tx_error_count_1,motor_velocity_1,vehicle_velocity_1,phase_current_b_1,drive_mode,throttle_value,regen_value,brake_pedal_value,cruise_down_on,cruise_up_on,reverse_on,horn_on,headlights_on,rearview_on,power_save_on,left_turn_on,right_turn_on,mppt_current_A0,mppt_power_A0,mppt_temp_A0,mppt_vin_A0,mppt_vout_A0,mppt_current_A1,mppt_power_A1,mppt_temp_A1,mppt_vin_A1,mppt_vout_A1,mppt_current_B0,mppt_power_B0,mppt_temp_B0,mppt_vin_B0,mppt_vout_B0,mppt_current_B1,mppt_power_B1,mppt_temp_B1,mppt_vin_B1,mppt_vout_B1,mppt_current_C0,mppt_power_C0,mppt_temp_C0,mppt_vin_C0,mppt_vout_C0,mppt_current_C1,mppt_power_C1,mppt_temp_C1,mppt_vin_C1,mppt_vout_C1,battery_current,charge_enabled,highside_contactor_on,lowside_contactor_on,cell1,cell2,cell3,cell4,cell5,cell6,cell7,cell8,cell9,cell10,cell11,cell12,cell13,cell14,cell15,cell16,cell17,cell18,cell19,cell20,cell21,cell22,cell23,cell24,cell25,cell26,cell27,cell28,cell29,cell30,cell31
Yes,3.04,115.28,29.81,4.88,14.92,3.34,1.87,32.99,0x0,0x2,0,0,35.54,2.31,22.82,Yes,2.67,114.60,32.34,102.18,14.90,3.29,1.86,37.86,0x0,0x2,0,0,35.45,2.30,22.57,Manual,0.56,0.00,0.00,0x0,0x0,0x0,0x0,0x1,0x0,0x0,0x1,0x0,0.00,0.00,31.66,0.00,116.17,0.00,0.00,32.88,0.00,116.17,0.00,0.00,30.22,0.00,0.00,0.00,0.00,31.33,0.00,0.00,0.00,0.00,29.88,0.00,116.68,0.00,0.00,31.11,0.00,116.68,-0.182378,1,1,1,3.7098,3.7066,3.7079,3.7131,3.7054,3.7090,3.7071,3.6965,3.7075,3.7139,3.7361,3.7126,3.6982,3.7072,3.7102,3.7098,3.7203,3.7054,3.7112,3.7457,3.7078,3.6981,3.7150,3.7037,3.7082,3.7146,3.7087,3.7024,3.7006,3.7085,3.7143,
Yes,3.96,113.93,29.82,4.88,14.90,3.34,1.87,32.99,0x0,0x2,0,0,76.00,4.93,23.04,Yes,3.94,113.78,32.34,102.18,14.89,3.29,1.86,37.88,0x0,0x2,0,0,81.29,5.27,20.85,Manual,0.54,0.00,0.00,0x0,0x0,0x0,0x0,0x1,0x0,0x0,0x1,0x0,0.00,0.00,31.66,0.00,115.66,0.00,0.00,32.88,0.00,115.66,0.00,0.00,30.22,0.00,0.00,0.00,0.00,31.33,0.00,0.00,0.00,0.00,29.88,0.00,116.10,0.00,0.00,31.11,0.00,116.10,-0.182323,1,1,1,3.6937,3.6899,3.6915,3.6985,3.6880,3.6915,3.6907,3.6795,3.6915,3.6997,3.7179,3.6969,3.6745,3.6915,3.6962,3.6937,3.6977,3.6881,3.6961,3.7295,3.6921,3.6819,3.7004,3.6865,3.6918,3.7004,3.6911,3.6830,3.6826,3.6931,3.6999,
Yes,5.67,112.61,29.82,4.88,14.90,3.34,1.87,33.01,0x0,0x4,0,0,134.71,8.74,21.98,Yes,5.47,112.51,32.33,102.18,14.90,3.29,1.86,37.86,0x0,0x2,0,0,143.35,9.30,21.75,Manual,0.55,0.00,0.00,0x0,0x0,0x0,0x0,0x1,0x0,0x0,0x1,0x0,0.00,0.00,31.66,0.00,113.92,0.00,0.00,32.88,0.00,113.92,0.00,0.00,30.22,0.00,0.00,0.00,0.00,31.33,0.00,0.00,0.00,0.00,29.88,0.00,114.35,0.00,0.00,31.11,0.00,114.35,-0.182406,1,1,1,3.6528,3.6470,3.6494,3.6580,3.6446,3.6496,3.6487,3.6327,3.6501,3.6609,3.6742,3.6574,3.6126,3.6511,3.6560,3.6550,3.6410,3.6436,3.6569,3.6894,3.6480,3.6430,3.6623,3.6411,3.6505,3.6613,3.6479,3.6358,3.6350,3.6519,3.6639,
Yes,6.26,112.04,29.81,4.88,14.90,3.34,1.87,33.01,0x0,0x2,0,0,156.91,10.18,22.21,Yes,6.05,111.85,32.32,102.18,14.90,3.29,1.86,37.86,0x0,0x2,0,0,166.79,10.82,21.01,Manual,0.55,0.00,0.00,0x0,0x0,0x0,0x0,0x1,0x0,0x0,0x1,0x0,0.00,0.00,31.55,0.00,113.70,0.00,0.00,32.88,0.00,113.70,0.00,0.00,30.22,0.00,0.00,0.00,0.00,31.33,0.00,0.00,0.00,0.00,29.88,0.00,114.07,0.00,0.00,31.11,0.00,114.07,-0.183467,1,1,1,3.6444,3.6355,3.6355,3.6450,3.6306,3.6372,3.6400,3.6202,3.6366,3.6483,3.6604,3.6492,3.5961,3.6377,3.6438,3.6427,3.6244,3.6346,3.6463,3.6759,3.6343,3.6306,3.6544,3.6289,3.6370,3.6487,3.6339,3.6226,3.6251,3.6407,3.6521,
Yes,6.87,111.38,29.81,4.88,14.90,3.34,1.87,33.02,0x0,0x2,0,0,184.02,11.93,21.22,Yes,6.45,111.37,32.31,102.18,14.90,3.29,1.86,37.86,0x0,0x2,0,0,190.14,12.33,22.04,Manual,0.52,0.00,0.00,0x0,0x0,0x0,0x0,0x1,0x0,0x0,0x1,0x0,0.00,0.00,31.55,0.00,113.23,0.00,0.00,32.88,0.00,113.29,0.00,0.00,30.22,0.00,0.00,0.00,0.00,31.33,0.00,0.00,0.00,0.00,29.88,0.00,113.70,0.00,0.00,31.11,0.00,113.70,-0.183022,1,1,1,3.6324,3.6254,3.6268,3.6377,3.6242,3.6299,3.6280,3.6093,3.6280,3.6414,3.6540,3.6378,3.5819,3.6293,3.6365,3.6369,3.6150,3.6216,3.6374,3.6677,3.6265,3.6249,3.6433,3.6185,3.6282,3.6419,3.6279,3.6142,3.6115,3.6315,3.6440,
Yes,5.82,112.28,29.80,4.88,14.90,3.34,1.87,33.02,0x0,0x2,0,0,224.43,14.55,16.58,Yes,5.73,112.13,32.30,102.18,14.90,3.29,1.86,37.85,0x0,0x2,0,0,224.76,14.58,16.84,Manual,0.42,0.00,0.00,0x0,0x0,0x0,0x0,0x1,0x0,0x0,0x1,0x0,0.00,0.00,31.55,0.00,114.02,0.00,0.00,32.88,0.00,114.00,0.00,0.00,30.22,0.00,0.00,0.00,0.00,31.33,0.00,0.00,0.00,0.00,29.88,0.00,114.49,0.00,0.00,31.11,0.00,114.49,-0.181675,1,1,1,3.6502,3.6433,3.6445,3.6547,3.6440,3.6479,3.6462,3.6289,3.6454,3.6576,3.6734,3.6548,3.6084,3.6464,3.6532,3.6541,3.6389,3.6407,3.6536,3.6846,3.6452,3.6425,3.6596,3.6376,3.6459,3.6579,3.6469,3.6343,3.6318,3.6487,3.6594,
Yes,5.64,112.55,29.81,4.88,14.90,3.34,1.87,33.04,0x0,0x2,0,0,241.86,15.68,14.56,Yes,5.45,112.42,32.30,102.18,14.90,3.29,1.86,37.85,0x0,0x2,0,0,242.48,15.72,14.46,Manual,0.28,0.00,0.00,0x0,0x0,0x0,0x0,0x1,0x0,0x0,0x1,0x0,0.00,0.00,31.55,0.00,114.21,0.00,0.00,32.88,0.00,115.31,0.00,0.00,30.22,0.00,0.00,0.00,0.00,31.33,0.00,0.00,0.00,0.00,29.88,0.00,114.68,0.00,0.00,31.11,0.00,114.68,-0.182017,1,1,1,3.6559,3.6552,3.6580,3.6631,3.6470,3.6479,3.6521,3.6424,3.6585,3.6654,3.6764,3.6604,3.6260,3.6594,3.6611,3.6570,3.6392,3.6469,3.6647,3.6972,3.6538,3.6449,3.6650,3.6500,3.6588,3.6661,3.6500,3.6343,3.6390,3.6595,3.6707,
Yes,0.00,116.79,29.81,4.88,14.90,3.34,1.87,33.06,0x0,0x0,0,0,245.01,15.89,0.00,Yes,0.00,116.62,32.29,102.18,14.90,3.29,1.86,37.85,0x0,0x0,0,0,244.14,15.83,0.00,Manual,0.00,0.00,0.00,0x0,0x0,0x0,0x0,0x1,0x0,0x0,0x1,0x0,0.00,0.00,31.55,0.00,118.27,0.00,0.00,32.88,0.00,118.27,0.00,0.00,30.22,0.00,0.00,0.00,0.00,31.33,0.00,0.00,0.00,0.00,29.88,0.00,118.65,0.00,0.00,31.11,0.00,118.65,-0.182009,1,1,1,3.7612,3.7610,3.7630,3.7643,3.7622,3.7628,3.7601,3.7581,3.7615,3.7625,3.7919,3.7622,3.7800,3.7601,3.7606,3.7585,3.7951,3.7608,3.7609,3.7975,3.7642,3.7473,3.7626,3.7625,3.7621,3.7630,3.7642,3.7636,3.7614,3.7613,3.7612,
Yes,0.00,116.85,29.80,4.88,14.93,3.34,1.86,33.06,0x0,0x0,0,0,244.46,15.85,0.00,Yes,0.00,116.64,32.29,101.90,14.90,3.29,1.86,37.84,0x0,0x0,0,0,242.51,15.73,0.00,Manual,0.00,0.00,0.00,0x0,0x0,0x0,0x0,0x1,0x0,0x0,0x1,0x0,0.00,0.00,31.55,0.00,118.27,0.00,0.00,32.88,0.00,118.27,0.00,0.00,30.22,0.00,0.00,0.00,0.00,31.33,0.00,0.00,0.00,0.00,29.88,0.00,118.73,0.00,0.00,31.11,0.00,118.73,-0.182907,1,1,1,3.7620,3.7621,3.7639,3.7652,3.7629,3.7635,3.7609,3.7590,3.7623,3.7634,3.7926,3.7628,3.7809,3.7609,3.7614,3.7592,3.7960,3.7617,3.7616,3.7983,3.7649,3.7482,3.7633,3.7633,3.7629,3.7635,3.7648,3.7644,3.7621,3.7621,3.7620,
Yes,2.84,114.92,29.80,4.88,14.93,3.34,1.87,33.03,0x0,0x4,0,0,246.47,15.98,6.90,Yes,2.72,114.61,32.28,102.18,14.91,3.29,1.86,37.83,0x0,0x2,0,0,244.96,15.89,7.23,Manual,0.19,0.00,0.00,0x0,0x0,0x0,0x0,0x1,0x0,0x0,0x1,0x0,0.00,0.00,31.55,0.00,116.39,0.00,0.00,32.77,0.00,116.39,0.00,0.00,30.22,0.00,0.00,0.00,0.00,31.33,0.00,0.00,0.00,0.00,29.77,0.00,116.72,0.00,0.00,31.11,0.00,116.72,-0.183217,1,1,1,3.7117,3.7080,3.7096,3.7148,3.7069,3.7092,3.7092,3.6998,3.7091,3.7152,3.7367,3.7141,3.7019,3.7089,3.7121,3.7098,3.7221,3.7073,3.7123,3.7467,3.7103,3.6985,3.7166,3.7058,3.7097,3.7153,3.7098,3.7031,3.7034,3.7103,3.7156,
Yes,5.72,112.38,29.81,4.88,14.90,3.34,1.87,33.06,0x0,0x4,0,0,257.29,16.68,14.72,Yes,5.95,111.85,32.25,102.18,14.90,3.29,1.86,37.83,0x0,0x2,0,0,257.23,16.68,15.41,Manual,0.41,0.00,0.00,0x0,0x0,0x0,0x0,0x1,0x0,0x0,0x1,0x0,0.00,0.00,31.55,0.00,113.72,0.00,0.00,32.77,0.00,113.72,0.00,0.00,30.22,0.00,0.00,0.00,0.00,31.33,0.00,0.00,0.00,0.00,29.77,0.00,114.31,0.00,0.00,31.11,0.00,114.31,-0.182851,1,1,1,3.6462,3.6393,3.6407,3.6491,3.6351,3.6411,3.6420,3.6244,3.6418,3.6522,3.6647,3.6509,3.6019,3.6429,3.6476,3.6464,3.6297,3.6362,3.6496,3.6810,3.6389,3.6344,3.6560,3.6329,3.6421,3.6528,3.6382,3.6266,3.6273,3.6444,3.6563,
Yes,6.77,111.52,29.81,4.88,14.90,3.34,1.87,33.06,0x0,0x2,0,0,273.45,17.73,16.63,Yes,6.64,111.35,32.25,102.18,14.90,3.29,1.86,37.84,0x0,0x2,0,0,273.01,17.70,16.43,Manual,0.00,0.00,0.00,0x0,0x0,0x0,0x0,0x1,0x0,0x0,0x1,0x0,0.00,0.00,31.55,0.00,113.21,0.00,0.00,32.77,0.00,113.21,0.00,0.00,30.22,0.00,0.00,0.00,0.00,31.33,0.00,0.00,0.00,0.00,29.77,0.00,113.60,0.00,0.00,31.11,0.00,113.60,-0.183249,1,1,1,3.6856,3.6799,3.6805,3.6865,3.6768,3.6807,3.6825,3.6690,3.6805,3.6880,3.7063,3.6889,3.6618,3.6810,3.6846,3.6832,3.6839,3.6789,3.6866,3.7188,3.6798,3.6712,3.6924,3.6762,3.6810,3.6885,3.6800,3.6715,3.6734,3.6834,3.6901,
