alive_0,bus_current_0,bus_voltage_0,heatsink_temp_0,motor_temp_0,rail_15v_0,rail_3v3_0,rail_1v9_0,dsp_temp_0,error_flags_0,limit_flags_0,rx_error_count_0,tx_error_count_0,motor_velocity_0,vehicle_velocity_0,phase_current_b_0,alive_1,bus_current_1,bus_voltage_1,heatsink_temp_1,motor_temp_1,rail_15v_1,rail_3v3_1,rail_1v9_1,dsp_temp_1,error_flags_1,limit_flags_1,rx_error_count_1,tx_error_count_1,motor_velocity_1,vehicle_velocity_1,phase_current_b_1,drive_mode,throttle_value,regen_value,brake_pedal_value,cruise_down_on,cruise_up_on,reverse_on,horn_on,headlights_on,rearview_on,power_save_on,left_turn_on,right_turn_on,mppt_current_A0,mppt_power_A0,mppt_temp_A0,mppt_vin_A0,mppt_vout_A0,mppt_current_A1,mppt_power_A1,mppt_temp_A1,mppt_vin_A1,mppt_vout_A1,mppt_current_B0,mppt_power_B0,mppt_temp_B0,mppt_vin_B0,mppt_vout_B0,mppt_current_B1,mppt_power_B1,mppt_temp_B1,mppt_vin_B1,mppt_vout_B1,mppt_current_C0,mppt_power_C0,mppt_temp_C0,mppt_vin_C0,mppt_vout_C0,mppt_current_C1,mppt_power_C1,mppt_temp_C1,mppt_vin_C1,mppt_vout_C1,charge_enabled,highside_contactor_on,lowside_contactor_on,cell1,cell2,cell3,cell4,cell5,cell6,cell7,cell8,cell9,cell10,cell11,cell12,cell13,cell14,cell15,cell16,cell17,cell18,cell19,cell20,cell21,cell22,cell23,cell24,cell25,cell26,cell27,cell28,cell29,cell30,cell31
Yes,0.07,121.03,23.07,4.88,14.89,3.33,1.87,26.93,0x0,0x0,0,0,-17.40,-1.12,3.58,Yes,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0x0,0x0,0,0,0.00,0.00,0.00,Reverse,0.00,0.00,0.00,0x0,0x0,0x1,0x0,0x0,0x0,0x0,0x0,0x0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,1,1,3.8877,3.8885,3.8887,3.8902,3.8874,3.8879,3.8863,3.8833,3.8879,3.8893,3.9220,3.8879,3.9055,3.8865,3.8874,3.8862,3.9212,3.8961,3.8871,3.9262,3.8882,3.8736,3.8895,3.8882,3.8889,3.8898,3.8887,3.8873,3.8864,3.8877,3.8891,
Yes,0.07,121.03,23.07,4.88,14.89,3.33,1.87,26.93,0x0,0x0,0,0,-17.40,-1.12,3.58,Yes,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0x0,0x0,0,0,0.00,0.00,0.00,Reverse,0.00,0.00,0.00,0x0,0x0,0x1,0x0,0x0,0x0,0x0,0x0,0x0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,1,1,3.8877,3.8885,3.8887,3.8902,3.8874,3.8879,3.8863,3.8833,3.8879,3.8893,3.9220,3.8879,3.9055,3.8865,3.8874,3.8862,3.9212,3.8961,3.8871,3.9262,3.8882,3.8736,3.8895,3.8882,3.8889,3.8898,3.8887,3.8873,3.8864,3.8877,3.8891,
Yes,0.07,121.03,23.07,4.88,14.89,3.33,1.87,26.93,0x0,0x0,0,0,-17.40,-1.12,3.58,Yes,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0x0,0x0,0,0,0.00,0.00,0.00,Reverse,0.00,0.00,0.00,0x0,0x0,0x1,0x0,0x0,0x0,0x0,0x0,0x0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,1,1,3.8877,3.8885,3.8887,3.8902,3.8874,3.8879,3.8863,3.8833,3.8879,3.8893,3.9220,3.8879,3.9055,3.8865,3.8874,3.8862,3.9212,3.8961,3.8871,3.9262,3.8882,3.8736,3.8895,3.8882,3.8889,3.8898,3.8887,3.8873,3.8864,3.8877,3.8891,
Yes,0.07,121.03,23.07,4.88,14.89,3.33,1.87,26.93,0x0,0x0,0,0,-17.40,-1.12,3.58,Yes,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0x0,0x0,0,0,0.00,0.00,0.00,Reverse,0.00,0.00,0.00,0x0,0x0,0x1,0x0,0x0,0x0,0x0,0x0,0x0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,1,1,3.8877,3.8885,3.8887,3.8902,3.8874,3.8879,3.8863,3.8833,3.8879,3.8893,3.9220,3.8879,3.9055,3.8865,3.8874,3.8862,3.9212,3.8961,3.8871,3.9262,3.8882,3.8736,3.8895,3.8882,3.8889,3.8898,3.8887,3.8873,3.8864,3.8877,3.8891,
Yes,0.07,121.03,23.07,4.88,14.89,3.33,1.87,26.93,0x0,0x0,0,0,-17.40,-1.12,3.58,Yes,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0x0,0x0,0,0,0.00,0.00,0.00,Reverse,0.00,0.00,0.00,0x0,0x0,0x1,0x0,0x0,0x0,0x0,0x0,0x0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,1,1,3.8877,3.8885,3.8887,3.8902,3.8874,3.8879,3.8863,3.8833,3.8879,3.8893,3.9220,3.8879,3.9055,3.8865,3.8874,3.8862,3.9212,3.8961,3.8871,3.9262,3.8882,3.8736,3.8895,3.8882,3.8889,3.8898,3.8887,3.8873,3.8864,3.8877,3.8891,
Yes,0.07,121.03,23.07,4.88,14.89,3.33,1.87,26.93,0x0,0x0,0,0,-17.40,-1.12,3.58,Yes,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0x0,0x0,0,0,0.00,0.00,0.00,Reverse,0.00,0.00,0.00,0x0,0x0,0x1,0x0,0x0,0x0,0x0,0x0,0x0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,1,1,3.8877,3.8885,3.8887,3.8902,3.8874,3.8879,3.8863,3.8833,3.8879,3.8893,3.9220,3.8879,3.9055,3.8865,3.8874,3.8862,3.9212,3.8961,3.8871,3.9262,3.8882,3.8736,3.8895,3.8882,3.8889,3.8898,3.8887,3.8873,3.8864,3.8877,3.8891,
Yes,0.07,121.03,23.07,4.88,14.89,3.33,1.87,26.93,0x0,0x0,0,0,-17.40,-1.12,3.58,Yes,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0x0,0x0,0,0,0.00,0.00,0.00,Reverse,0.00,0.00,0.00,0x0,0x0,0x1,0x0,0x0,0x0,0x0,0x0,0x0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,1,1,3.8877,3.8885,3.8887,3.8902,3.8874,3.8879,3.8863,3.8833,3.8879,3.8893,3.9220,3.8879,3.9055,3.8865,3.8874,3.8862,3.9212,3.8961,3.8871,3.9262,3.8882,3.8736,3.8895,3.8882,3.8889,3.8898,3.8887,3.8873,3.8864,3.8877,3.8891,
Yes,0.07,121.03,23.07,4.88,14.89,3.33,1.87,26.93,0x0,0x0,0,0,-17.40,-1.12,3.58,Yes,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0x0,0x0,0,0,0.00,0.00,0.00,Reverse,0.00,0.00,0.00,0x0,0x0,0x1,0x0,0x0,0x0,0x0,0x0,0x0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,1,1,3.8877,3.8885,3.8887,3.8902,3.8874,3.8879,3.8863,3.8833,3.8879,3.8893,3.9220,3.8879,3.9055,3.8865,3.8874,3.8862,3.9212,3.8961,3.8871,3.9262,3.8882,3.8736,3.8895,3.8882,3.8889,3.8898,3.8887,3.8873,3.8864,3.8877,3.8891,
Yes,0.00,121.05,23.08,4.88,14.93,3.34,1.86,26.93,0x0,0x0,0,0,-15.43,-0.99,0.00,Yes,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0x0,0x0,0,0,0.00,0.00,0.00,Reverse,0.00,0.00,0.00,0x0,0x0,0x1,0x0,0x0,0x0,0x0,0x0,0x0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,1,1,3.9001,3.9015,3.9018,3.9024,3.9005,3.9007,3.8990,3.8973,3.9006,3.9009,3.9354,3.9000,3.9239,3.8990,3.8991,3.8981,3.9384,3.9095,3.8989,3.9388,3.9013,3.8855,3.9008,3.9019,3.9017,3.9015,3.9018,3.9015,3.9008,3.9002,3.9005,
Yes,0.00,121.08,23.08,4.88,14.93,3.34,1.86,26.93,0x0,0x0,0,0,-13.56,-0.87,0.00,Yes,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0x0,0x0,0,0,0.00,0.00,0.00,Reverse,0.00,0.00,0.00,0x0,0x0,0x1,0x0,0x0,0x0,0x0,0x0,0x0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,1,1,3.9003,3.9017,3.9019,3.9026,3.9005,3.9007,3.8991,3.8975,3.9007,3.9012,3.9354,3.9000,3.9240,3.8991,3.8992,3.8983,3.9386,3.9096,3.8990,3.9388,3.9014,3.8856,3.9010,3.9020,3.9017,3.9017,3.9020,3.9016,3.9009,3.9002,3.9005,
Yes,0.00,121.07,23.08,4.88,14.93,3.34,1.86,26.92,0x0,0x0,0,0,-11.70,-0.75,0.00,Yes,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0x0,0x0,0,0,0.00,0.00,0.00,Reverse,0.00,0.00,0.00,0x0,0x0,0x1,0x0,0x0,0x0,0x0,0x0,0x0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,1,1,3.9004,3.9017,3.9019,3.9026,3.9007,3.9008,3.8992,3.8976,3.9007,3.9011,3.9355,3.9002,3.9240,3.8991,3.8993,3.8982,3.9386,3.9097,3.8991,3.9389,3.9015,3.8856,3.9010,3.9020,3.9018,3.9017,3.9020,3.9018,3.9010,3.9003,3.9007,
Yes,0.00,121.06,23.09,4.88,14.92,3.34,1.86,26.95,0x0,0x0,0,0,-9.06,-0.58,0.00,Yes,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0x0,0x0,0,0,0.00,0.00,0.00,Reverse,0.00,0.00,0.00,0x0,0x0,0x1,0x0,0x0,0x0,0x0,0x0,0x0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,1,1,3.9004,3.9017,3.9019,3.9027,3.9007,3.9009,3.8994,3.8977,3.9007,3.9010,3.9354,3.9001,3.9240,3.8991,3.8993,3.8983,3.9388,3.9098,3.8992,3.9390,3.9016,3.8856,3.9012,3.9021,3.9018,3.9017,3.9020,3.9018,3.9011,3.9003,3.9006,
Yes,0.00,121.06,23.09,4.88,14.92,3.34,1.86,26.95,0x0,0x0,0,0,-9.06,-0.58,0.00,Yes,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0x0,0x0,0,0,0.00,0.00,0.00,Reverse,0.00,0.00,0.00,0x0,0x0,0x1,0x0,0x0,0x0,0x0,0x0,0x0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,1,1,3.9004,3.9017,3.9019,3.9027,3.9007,3.9009,3.8994,3.8977,3.9007,3.9010,3.9354,3.9001,3.9240,3.8991,3.8993,3.8983,3.9388,3.9098,3.8992,3.9390,3.9016,3.8856,3.9012,3.9021,3.9018,3.9017,3.9020,3.9018,3.9011,3.9003,3.9006,
Yes,0.60,121.06,23.09,4.88,14.93,3.34,1.86,26.92,0x0,0x4,0,0,-7.48,-0.48,6.46,Yes,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0x0,0x0,0,0,0.00,0.00,0.00,Reverse,0.00,0.93,0.00,0x0,0x0,0x1,0x0,0x0,0x0,0x0,0x0,0x0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,1,1,3.8997,3.9011,3.9012,3.9020,3.9000,3.9002,3.8986,3.8968,3.9001,3.9006,3.9348,3.8994,3.9230,3.8984,3.8987,3.8978,3.9378,3.9090,3.8986,3.9383,3.9008,3.8850,3.9005,3.9013,3.9012,3.9012,3.9012,3.9009,3.9003,3.8997,3.9000,
Yes,0.66,121.05,23.08,4.88,14.89,3.34,1.86,26.91,0x0,0x4,0,0,-2.35,-0.15,3.00,Yes,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0x0,0x0,0,0,0.00,0.00,0.00,Reverse,0.00,0.93,0.31,0x0,0x0,0x1,0x0,0x0,0x0,0x0,0x0,0x0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,1,1,3.9002,3.9016,3.9018,3.9025,3.9005,3.9007,3.8992,3.8975,3.9008,3.9010,3.9352,3.9000,3.9239,3.8991,3.8991,3.8981,3.9385,3.9096,3.8989,3.9389,3.9013,3.8854,3.9009,3.9019,3.9018,3.9017,3.9019,3.9016,3.9008,3.9002,3.9005,
Yes,0.00,121.06,23.08,4.88,14.88,3.33,1.86,26.92,0x0,0x0,0,0,0.00,0.00,0.00,Yes,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0x0,0x0,0,0,0.00,0.00,0.00,Reverse,0.00,0.00,0.38,0x0,0x0,0x1,0x0,0x0,0x0,0x0,0x0,0x0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,1,1,3.9004,3.9017,3.9020,3.9027,3.9008,3.9009,3.8994,3.8977,3.9009,3.9011,3.9355,3.9001,3.9241,3.8994,3.8994,3.8983,3.9387,3.9097,3.8991,3.9390,3.9015,3.8856,3.9012,3.9022,3.9019,3.9019,3.9021,3.9019,3.9010,3.9004,3.9007,
Yes,0.00,121.06,23.08,4.88,14.88,3.33,1.86,26.92,0x0,0x0,0,0,0.00,0.00,0.00,Yes,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0x0,0x0,0,0,0.00,0.00,0.00,Reverse,0.00,0.00,0.38,0x0,0x0,0x1,0x0,0x0,0x0,0x0,0x0,0x0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,1,1,3.9004,3.9017,3.9020,3.9027,3.9008,3.9009,3.8994,3.8977,3.9009,3.9011,3.9355,3.9001,3.9241,3.8994,3.8994,3.8983,3.9387,3.9097,3.8991,3.9390,3.9015,3.8856,3.9012,3.9022,3.9019,3.9019,3.9021,3.9019,3.9010,3.9004,3.9007,
