alive_0,bus_current_0,bus_voltage_0,heatsink_temp_0,motor_temp_0,rail_15v_0,rail_3v3_0,rail_1v9_0,dsp_temp_0,error_flags_0,limit_flags_0,rx_error_count_0,tx_error_count_0,motor_velocity_0,vehicle_velocity_0,phase_current_b_0,alive_1,bus_current_1,bus_voltage_1,heatsink_temp_1,motor_temp_1,rail_15v_1,rail_3v3_1,rail_1v9_1,dsp_temp_1,error_flags_1,limit_flags_1,rx_error_count_1,tx_error_count_1,motor_velocity_1,vehicle_velocity_1,phase_current_b_1,drive_mode,throttle_value,regen_value,brake_pedal_value,cruise_down_on,cruise_up_on,reverse_on,horn_on,headlights_on,rearview_on,power_save_on,left_turn_on,right_turn_on,mppt_current_A0,mppt_power_A0,mppt_temp_A0,mppt_vin_A0,mppt_vout_A0,mppt_current_A1,mppt_power_A1,mppt_temp_A1,mppt_vin_A1,mppt_vout_A1,mppt_current_B0,mppt_power_B0,mppt_temp_B0,mppt_vin_B0,mppt_vout_B0,mppt_current_B1,mppt_power_B1,mppt_temp_B1,mppt_vin_B1,mppt_vout_B1,mppt_current_C0,mppt_power_C0,mppt_temp_C0,mppt_vin_C0,mppt_vout_C0,mppt_current_C1,mppt_power_C1,mppt_temp_C1,mppt_vin_C1,mppt_vout_C1,charge_enabled,highside_contactor_on,lowside_contactor_on,cell1,cell2,cell3,cell4,cell5,cell6,cell7,cell8,cell9,cell10,cell11,cell12,cell13,cell14,cell15,cell16,cell17,cell18,cell19,cell20,cell21,cell22,cell23,cell24,cell25,cell26,cell27,cell28,cell29,cell30,cell31
Yes,0.00,121.08,23.08,4.88,14.93,3.34,1.86,26.92,0x0,0x0,0,0,-5.40,-0.35,0.00,Yes,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0x0,0x0,0,0,0.00,0.00,0.00,Reverse,0.00,0.00,0.00,0x0,0x0,0x1,0x0,0x0,0x0,0x0,0x0,0x0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,1,1,3.9007,3.9020,3.9022,3.9029,3.9009,3.9010,3.8995,3.8978,3.9010,3.9014,3.9356,3.9003,3.9243,3.8995,3.8996,3.8986,3.9390,3.9099,3.8995,3.9392,3.9017,3.8858,3.9012,3.9024,3.9020,3.9019,3.9022,3.9019,3.9012,3.9006,3.9008,
Yes,0.00,121.08,23.08,4.88,14.93,3.34,1.86,26.92,0x0,0x0,0,0,-1.57,-0.10,0.00,Yes,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0x0,0x0,0,0,0.00,0.00,0.00,Reverse,0.00,0.00,0.00,0x0,0x0,0x1,0x0,0x0,0x0,0x0,0x0,0x0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,1,1,3.9006,3.9019,3.9022,3.9029,3.9009,3.9011,3.8995,3.8978,3.9010,3.9013,3.9357,3.9003,3.9243,3.8994,3.8996,3.8985,3.9390,3.9099,3.8994,3.9392,3.9017,3.8859,3.9013,3.9023,3.9021,3.9020,3.9022,3.9020,3.9013,3.9006,3.9008,
Yes,2.28,120.65,23.08,4.88,14.93,3.34,1.86,26.93,0x0,0x4,0,0,-0.92,-0.06,23.91,Yes,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0x0,0x0,0,0,0.00,0.00,0.00,Reverse,0.55,0.00,0.00,0x0,0x0,0x1,0x0,0x0,0x0,0x0,0x0,0x0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,1,1,3.8691,3.8684,3.8684,3.8707,3.8659,3.8675,3.8669,3.8595,3.8680,3.8708,3.9009,3.8696,3.8763,3.8671,3.8676,3.8682,3.8931,3.8755,3.8686,3.9074,3.8666,3.8554,3.8718,3.8656,3.8687,3.8716,3.8677,3.8639,3.8642,3.8681,3.8716,
Yes,0.07,121.03,23.07,4.88,14.89,3.33,1.87,26.93,0x0,0x0,0,0,-17.40,-1.12,3.58,Yes,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0x0,0x0,0,0,0.00,0.00,0.00,Reverse,0.00,0.00,0.00,0x0,0x0,0x1,0x0,0x0,0x0,0x0,0x0,0x0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,1,1,3.8877,3.8885,3.8887,3.8902,3.8874,3.8879,3.8863,3.8833,3.8879,3.8893,3.9220,3.8879,3.9055,3.8865,3.8874,3.8862,3.9212,3.8961,3.8871,3.9262,3.8882,3.8736,3.8895,3.8882,3.8889,3.8898,3.8887,3.8873,3.8864,3.8877,3.8891,
Yes,0.07,121.03,23.07,4.88,14.89,3.33,1.87,26.93,0x0,0x0,0,0,-17.40,-1.12,3.58,Yes,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0x0,0x0,0,0,0.00,0.00,0.00,Reverse,0.00,0.00,0.00,0x0,0x0,0x1,0x0,0x0,0x0,0x0,0x0,0x0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,1,1,3.8877,3.8885,3.8887,3.8902,3.8874,3.8879,3.8863,3.8833,3.8879,3.8893,3.9220,3.8879,3.9055,3.8865,3.8874,3.8862,3.9212,3.8961,3.8871,3.9262,3.8882,3.8736,3.8895,3.8882,3.8889,3.8898,3.8887,3.8873,3.8864,3.8877,3.8891,
Yes,0.07,121.03,23.07,4.88,14.89,3.33,1.87,26.93,0x0,0x0,0,0,-17.40,-1.12,3.58,Yes,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0x0,0x0,0,0,0.00,0.00,0.00,Reverse,0.00,0.00,0.00,0x0,0x0,0x1,0x0,0x0,0x0,0x0,0x0,0x0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,1,1,3.8877,3.8885,3.8887,3.8902,3.8874,3.8879,3.8863,3.8833,3.8879,3.8893,3.9220,3.8879,3.9055,3.8865,3.8874,3.8862,3.9212,3.8961,3.8871,3.9262,3.8882,3.8736,3.8895,3.8882,3.8889,3.8898,3.8887,3.8873,3.8864,3.8877,3.8891,
Yes,0.07,121.03,23.07,4.88,14.89,3.33,1.87,26.93,0x0,0x0,0,0,-17.40,-1.12,3.58,Yes,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0x0,0x0,0,0,0.00,0.00,0.00,Reverse,0.00,0.00,0.00,0x0,0x0,0x1,0x0,0x0,0x0,0x0,0x0,0x0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,1,1,3.8877,3.8885,3.8887,3.8902,3.8874,3.8879,3.8863,3.8833,3.8879,3.8893,3.9220,3.8879,3.9055,3.8865,3.8874,3.8862,3.9212,3.8961,3.8871,3.9262,3.8882,3.8736,3.8895,3.8882,3.8889,3.8898,3.8887,3.8873,3.8864,3.8877,3.8891,
Yes,0.07,121.03,23.07,4.88,14.89,3.33,1.87,26.93,0x0,0x0,0,0,-17.40,-1.12,3.58,Yes,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0x0,0x0,0,0,0.00,0.00,0.00,Reverse,0.00,0.00,0.00,0x0,0x0,0x1,0x0,0x0,0x0,0x0,0x0,0x0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,1,1,3.8877,3.8885,3.8887,3.8902,3.8874,3.8879,3.8863,3.8833,3.8879,3.8893,3.9220,3.8879,3.9055,3.8865,3.8874,3.8862,3.9212,3.8961,3.8871,3.9262,3.8882,3.8736,3.8895,3.8882,3.8889,3.8898,3.8887,3.8873,3.8864,3.8877,3.8891,
Yes,0.07,121.03,23.07,4.88,14.89,3.33,1.87,26.93,0x0,0x0,0,0,-17.40,-1.12,3.58,Yes,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0x0,0x0,0,0,0.00,0.00,0.00,Reverse,0.00,0.00,0.00,0x0,0x0,0x1,0x0,0x0,0x0,0x0,0x0,0x0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,1,1,3.8877,3.8885,3.8887,3.8902,3.8874,3.8879,3.8863,3.8833,3.8879,3.8893,3.9220,3.8879,3.9055,3.8865,3.8874,3.8862,3.9212,3.8961,3.8871,3.9262,3.8882,3.8736,3.8895,3.8882,3.8889,3.8898,3.8887,3.8873,3.8864,3.8877,3.8891,
Yes,0.07,121.03,23.07,4.88,14.89,3.33,1.87,26.93,0x0,0x0,0,0,-17.40,-1.12,3.58,Yes,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0x0,0x0,0,0,0.00,0.00,0.00,Reverse,0.00,0.00,0.00,0x0,0x0,0x1,0x0,0x0,0x0,0x0,0x0,0x0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,1,1,3.8877,3.8885,3.8887,3.8902,3.8874,3.8879,3.8863,3.8833,3.8879,3.8893,3.9220,3.8879,3.9055,3.8865,3.8874,3.8862,3.9212,3.8961,3.8871,3.9262,3.8882,3.8736,3.8895,3.8882,3.8889,3.8898,3.8887,3.8873,3.8864,3.8877,3.8891,
