alive_0,bus_current_0,bus_voltage_0,heatsink_temp_0,motor_temp_0,rail_15v_0,rail_3v3_0,rail_1v9_0,dsp_temp_0,error_flags_0,limit_flags_0,rx_error_count_0,tx_error_count_0,motor_velocity_0,vehicle_velocity_0,phase_current_b_0,alive_1,bus_current_1,bus_voltage_1,heatsink_temp_1,motor_temp_1,rail_15v_1,rail_3v3_1,rail_1v9_1,dsp_temp_1,error_flags_1,limit_flags_1,rx_error_count_1,tx_error_count_1,motor_velocity_1,vehicle_velocity_1,phase_current_b_1,drive_mode,throttle_value,regen_value,brake_pedal_value,cruise_down_on,cruise_up_on,reverse_on,horn_on,headlights_on,rearview_on,power_save_on,left_turn_on,right_turn_on,mppt_current_A0,mppt_power_A0,mppt_temp_A0,mppt_vin_A0,mppt_vout_A0,mppt_current_A1,mppt_power_A1,mppt_temp_A1,mppt_vin_A1,mppt_vout_A1,mppt_current_B0,mppt_power_B0,mppt_temp_B0,mppt_vin_B0,mppt_vout_B0,mppt_current_B1,mppt_power_B1,mppt_temp_B1,mppt_vin_B1,mppt_vout_B1,mppt_current_C0,mppt_power_C0,mppt_temp_C0,mppt_vin_C0,mppt_vout_C0,mppt_current_C1,mppt_power_C1,mppt_temp_C1,mppt_vin_C1,mppt_vout_C1,battery_current,charge_enabled,highside_contactor_on,lowside_contactor_on,cell1,cell2,cell3,cell4,cell5,cell6,cell7,cell8,cell9,cell10,cell11,cell12,cell13,cell14,cell15,cell16,cell17,cell18,cell19,cell20,cell21,cell22,cell23,cell24,cell25,cell26,cell27,cell28,cell29,cell30,cell31
Yes,-0.74,118.04,29.95,4.88,14.90,3.34,1.87,32.63,0x0,0x2,0,0,149.77,9.71,37.45,Yes,-1.45,118.06,32.44,102.18,14.89,3.29,1.86,37.58,0x0,0x2,0,0,150.40,9.75,36.15,Manual,0.00,0.90,0.00,0x0,0x0,0x0,0x0,0x1,0x0,0x0,0x1,0x0,0.00,0.00,32.22,0.00,119.20,0.00,0.00,33.55,0.00,119.16,0.00,0.00,30.78,0.00,0.00,0.00,0.00,31.78,0.00,0.00,0.00,0.00,30.33,0.00,119.69,0.00,0.00,31.66,0.00,119.69,-0.182172,1,1,1,3.7821,3.7817,3.7878,3.7889,3.7874,3.7860,3.7816,3.7808,3.7858,3.7861,3.8179,3.7825,3.8100,3.7841,3.7845,3.7807,3.8271,3.7836,3.7799,3.8222,3.7909,3.7701,3.7822,3.7845,3.7866,3.7865,3.7892,3.7900,3.7857,3.7813,3.7828,
Yes,5.49,112.63,29.95,4.88,14.93,3.34,1.87,32.66,0x0,0x4,0,0,121.93,7.91,21.51,Yes,6.95,111.23,32.44,102.18,14.90,3.29,1.86,37.59,0x0,0x2,0,0,132.61,8.60,21.38,Manual,0.26,0.00,0.00,0x0,0x0,0x0,0x0,0x1,0x0,0x0,0x1,0x0,0.00,0.00,32.22,0.00,113.35,0.00,0.00,33.55,0.00,113.35,0.00,0.00,30.66,0.00,0.00,0.00,0.00,31.78,0.00,0.00,0.00,0.00,30.33,0.00,113.37,0.00,0.00,31.55,0.00,113.39,-0.182478,1,1,1,3.6633,3.6550,3.6557,3.6639,3.6521,3.6575,3.6595,3.6416,3.6563,3.6662,3.6826,3.6678,3.6255,3.6574,3.6621,3.6617,3.6524,3.6553,3.6648,3.6964,3.6549,3.6500,3.6721,3.6499,3.6567,3.6668,3.6552,3.6452,3.6474,3.6600,3.6692,
Yes,0.84,116.50,29.97,4.88,14.91,3.34,1.87,32.66,0x0,0x4,0,0,123.15,7.99,2.30,Yes,2.47,114.82,32.44,102.18,14.91,3.29,1.86,37.60,0x0,0x2,0,0,131.77,8.54,1.35,Manual,0.45,0.00,0.00,0x0,0x0,0x0,0x0,0x1,0x0,0x0,0x1,0x0,0.00,0.00,32.22,0.00,116.02,0.00,0.00,33.55,0.00,115.98,0.00,0.00,30.66,0.00,0.00,0.00,0.00,31.78,0.00,0.00,0.00,0.00,30.33,0.00,116.47,0.00,0.00,31.55,0.00,116.47,-0.182676,1,1,1,3.6855,3.6819,3.6836,3.6901,3.6797,3.6841,3.6824,3.6706,3.6837,3.6913,3.7101,3.6892,3.6639,3.6843,3.6876,3.6859,3.6884,3.6792,3.6887,3.7229,3.6831,3.6745,3.6927,3.6781,3.6844,3.6917,3.6827,3.6751,3.6732,3.6853,3.6933,
Yes,7.36,110.90,29.98,4.88,14.90,3.34,1.87,32.68,0x0,0x4,0,0,139.29,9.03,26.75,Yes,7.34,110.61,32.45,102.18,14.89,3.29,1.86,37.60,0x0,0x2,0,0,143.97,9.34,28.51,Manual,0.68,0.00,0.00,0x0,0x0,0x0,0x0,0x1,0x0,0x0,0x1,0x0,0.00,0.00,32.22,0.00,112.70,0.00,0.00,33.44,0.00,112.68,0.00,0.00,30.66,0.00,0.00,0.00,0.00,31.78,0.00,0.00,0.00,0.00,30.33,0.00,113.07,0.00,0.00,31.55,0.00,113.07,-0.182931,1,1,1,3.6134,3.6016,3.6017,3.6137,3.5949,3.6028,3.6084,3.5826,3.6033,3.6184,3.6253,3.6195,3.5472,3.6054,3.6131,3.6111,3.5779,3.6010,3.6154,3.6444,3.6007,3.5989,3.6257,3.5925,3.6035,3.6190,3.5989,3.5832,3.5892,3.6080,3.6224,
Yes,7.13,111.16,29.99,4.88,14.90,3.34,1.87,32.69,0x0,0x2,0,0,155.45,10.08,26.07,Yes,6.98,110.98,32.46,102.18,14.89,3.29,1.86,37.60,0x0,0x2,0,0,154.84,10.04,25.32,Manual,0.62,0.00,0.00,0x0,0x0,0x0,0x0,0x1,0x0,0x0,0x1,0x0,0.00,0.00,32.22,0.00,112.94,0.00,0.00,33.55,0.00,112.94,0.00,0.00,30.66,0.00,0.00,0.00,0.00,31.78,0.00,0.00,0.00,0.00,30.33,0.00,113.62,0.00,0.00,31.55,0.00,113.62,-0.182390,1,1,1,3.6279,3.6199,3.6210,3.6316,3.6189,3.6264,3.6235,3.6027,3.6224,3.6352,3.6489,3.6335,3.5745,3.6242,3.6306,3.6321,3.6106,3.6169,3.6318,3.6630,3.6203,3.6203,3.6393,3.6121,3.6229,3.6359,3.6226,3.6103,3.6070,3.6257,3.6392,
Yes,7.32,111.12,29.99,4.88,14.90,3.34,1.87,32.69,0x0,0x2,0,0,165.04,10.70,25.49,Yes,7.06,110.92,32.46,102.18,14.89,3.29,1.86,37.59,0x0,0x2,0,0,161.03,10.44,24.08,Manual,0.86,0.00,0.00,0x0,0x0,0x0,0x0,0x1,0x0,0x0,0x1,0x0,0.00,0.00,32.22,0.00,110.50,0.00,0.00,33.44,0.00,110.50,0.00,0.00,30.66,0.00,0.00,0.00,0.00,31.78,0.00,0.00,0.00,0.00,30.33,0.00,110.95,0.00,0.00,31.55,0.00,111.07,-0.183531,1,1,1,3.5545,3.5402,3.5345,3.5464,3.5244,3.5367,3.5480,3.5151,3.5375,3.5540,3.5544,3.5627,3.4579,3.5411,3.5474,3.5487,3.4884,3.5375,3.5589,3.5805,3.5279,3.5363,3.5712,3.5273,3.5377,3.5547,3.5291,3.5089,3.5210,3.5491,3.5647,
Yes,10.45,108.45,30.01,4.88,14.90,3.34,1.87,32.72,0x0,0x2,0,0,218.43,14.17,27.41,Yes,9.93,108.24,32.47,102.18,14.89,3.29,1.86,37.60,0x0,0x2,0,0,222.25,14.41,27.72,Manual,0.69,0.00,0.00,0x0,0x0,0x0,0x0,0x1,0x0,0x0,0x1,0x0,0.00,0.00,32.22,0.00,110.84,0.00,0.00,33.44,0.00,110.84,0.00,0.00,30.66,0.00,0.00,0.00,0.00,31.78,0.00,0.00,0.00,0.00,30.33,0.00,111.25,0.00,0.00,31.55,0.00,111.25,-0.183018,1,1,1,3.5539,3.5388,3.5366,3.5524,3.5338,3.5457,3.5473,3.5145,3.5393,3.5595,3.5635,3.5620,3.4580,3.5431,3.5531,3.5568,3.5014,3.5367,3.5581,3.5820,3.5348,3.5442,3.5702,3.5265,3.5396,3.5601,3.5383,3.5198,3.5203,3.5483,3.5661,
Yes,0.00,116.71,30.03,4.88,14.93,3.34,1.87,32.73,0x0,0x0,0,0,244.53,15.86,0.00,Yes,0.00,116.51,32.48,102.18,14.90,3.29,1.86,37.61,0x0,0x0,0,0,244.21,15.84,0.00,Manual,0.00,0.00,0.00,0x0,0x0,0x0,0x0,0x1,0x0,0x0,0x0,0x0,0.00,0.00,32.22,0.00,118.10,0.00,0.00,33.44,0.00,118.10,0.00,0.00,30.66,0.00,0.00,0.00,0.00,31.78,0.00,0.00,0.00,0.00,30.22,0.00,118.59,0.00,0.00,31.55,0.00,118.59,-0.182712,1,1,1,3.7582,3.7577,3.7599,3.7612,3.7592,3.7596,3.7571,3.7550,3.7584,3.7595,3.7889,3.7593,3.7775,3.7574,3.7576,3.7555,3.7922,3.7578,3.7582,3.7951,3.7615,3.7448,3.7597,3.7595,3.7591,3.7600,3.7613,3.7608,3.7585,3.7583,3.7584,
Yes,2.88,114.61,30.03,4.88,14.93,3.34,1.87,32.72,0x0,0x4,0,0,243.32,15.78,5.64,Yes,2.50,114.69,32.49,102.18,14.90,3.29,1.86,37.61,0x0,0x2,0,0,243.07,15.76,6.85,Manual,0.41,0.00,0.00,0x0,0x0,0x0,0x0,0x1,0x0,0x0,0x0,0x0,0.00,0.00,32.22,0.00,116.31,0.00,0.00,33.44,0.00,115.02,0.00,0.00,30.66,0.00,0.00,0.00,0.00,31.78,0.00,0.00,0.00,0.00,30.22,0.00,116.65,0.00,0.00,31.55,0.00,116.65,-0.183038,1,1,1,3.7104,3.7067,3.7084,3.7133,3.7076,3.7105,3.7082,3.6988,3.7080,3.7136,3.7377,3.7134,3.7028,3.7078,3.7106,3.7102,3.7251,3.7062,3.7118,3.7460,3.7094,3.6991,3.7157,3.7054,3.7086,3.7139,3.7105,3.7054,3.7030,3.7097,3.7142,
Yes,0.00,116.77,30.03,4.88,14.93,3.34,1.87,32.72,0x0,0x0,0,0,242.05,15.70,0.00,Yes,0.00,116.57,32.50,102.18,14.90,3.29,1.86,37.63,0x0,0x0,0,0,241.99,15.69,0.00,Manual,0.00,0.00,0.00,0x0,0x0,0x0,0x0,0x1,0x0,0x0,0x0,0x0,0.00,0.00,32.11,0.00,118.18,0.00,0.00,33.44,0.00,118.18,0.00,0.00,30.66,0.00,0.00,0.00,0.00,31.78,0.00,0.00,0.00,0.00,30.22,0.00,118.61,0.00,0.00,31.55,0.00,118.61,-0.182164,1,1,1,3.7597,3.7595,3.7616,3.7630,3.7610,3.7615,3.7588,3.7565,3.7600,3.7612,3.7909,3.7608,3.7791,3.7589,3.7592,3.7571,3.7941,3.7594,3.7597,3.7968,3.7631,3.7463,3.7612,3.7611,3.7608,3.7616,3.7630,3.7624,3.7599,3.7599,3.7599,
