alive_0,bus_current_0,bus_voltage_0,heatsink_temp_0,motor_temp_0,rail_15v_0,rail_3v3_0,rail_1v9_0,dsp_temp_0,error_flags_0,limit_flags_0,rx_error_count_0,tx_error_count_0,motor_velocity_0,vehicle_velocity_0,phase_current_b_0,alive_1,bus_current_1,bus_voltage_1,heatsink_temp_1,motor_temp_1,rail_15v_1,rail_3v3_1,rail_1v9_1,dsp_temp_1,error_flags_1,limit_flags_1,rx_error_count_1,tx_error_count_1,motor_velocity_1,vehicle_velocity_1,phase_current_b_1,drive_mode,throttle_value,regen_value,brake_pedal_value,cruise_down_on,cruise_up_on,reverse_on,horn_on,headlights_on,rearview_on,power_save_on,left_turn_on,right_turn_on,mppt_current_A0,mppt_power_A0,mppt_temp_A0,mppt_vin_A0,mppt_vout_A0,mppt_current_A1,mppt_power_A1,mppt_temp_A1,mppt_vin_A1,mppt_vout_A1,mppt_current_B0,mppt_power_B0,mppt_temp_B0,mppt_vin_B0,mppt_vout_B0,mppt_current_B1,mppt_power_B1,mppt_temp_B1,mppt_vin_B1,mppt_vout_B1,mppt_current_C0,mppt_power_C0,mppt_temp_C0,mppt_vin_C0,mppt_vout_C0,mppt_current_C1,mppt_power_C1,mppt_temp_C1,mppt_vin_C1,mppt_vout_C1,battery_current,charge_enabled,highside_contactor_on,lowside_contactor_on,cell1,cell2,cell3,cell4,cell5,cell6,cell7,cell8,cell9,cell10,cell11,cell12,cell13,cell14,cell15,cell16,cell17,cell18,cell19,cell20,cell21,cell22,cell23,cell24,cell25,cell26,cell27,cell28,cell29,cell30,cell31
Yes,0.00,118.82,29.11,4.88,14.93,3.34,1.86,32.37,0x0,0x0,0,0,0.00,0.00,0.00,Yes,0.00,118.49,31.05,101.90,14.90,3.29,1.86,36.78,0x0,0x0,0,0,0.00,0.00,0.00,Neutral,0.00,0.00,0.00,0x0,0x0,0x0,0x0,0x0,0x0,0x1,0x0,0x0,0.00,0.00,31.89,33.78,120.37,3.22,112.07,33.11,34.76,120.37,0.00,0.00,30.89,0.00,121.02,4.64,101.23,33.00,21.83,121.02,3.65,74.07,31.44,20.30,120.88,2.71,58.78,32.44,21.69,120.88,-0.183320,1,1,1,3.8187,3.8223,3.8232,3.8222,3.8225,3.8216,3.8180,3.8217,3.8211,3.8187,3.8565,3.8176,3.8552,3.8182,3.8173,3.8151,3.8693,3.8229,3.8166,3.8578,3.8235,3.8035,3.8169,3.8242,3.8217,3.8193,3.8240,3.8266,3.8237,3.8187,3.8160,
Yes,0.00,118.96,29.11,4.88,14.93,3.34,1.86,32.38,0x0,0x0,0,0,-0.27,-0.02,0.00,Yes,0.00,118.76,31.06,101.90,14.90,3.29,1.86,36.79,0x0,0x0,0,0,-0.28,-0.02,0.00,Neutral,0.00,0.00,0.00,0x0,0x0,0x0,0x0,0x0,0x0,0x1,0x0,0x0,0.82,22.68,31.89,27.73,120.45,3.28,116.88,33.11,35.58,120.45,0.00,0.00,30.89,0.00,121.04,4.41,101.83,33.11,23.08,121.04,3.71,70.43,31.44,19.00,120.88,3.48,70.05,32.44,20.10,120.88,-0.182307,1,1,1,3.8210,3.8244,3.8252,3.8238,3.8243,3.8233,3.8203,3.8243,3.8231,3.8204,3.8584,3.8199,3.8582,3.8200,3.8190,3.8168,3.8715,3.8255,3.8186,3.8596,3.8252,3.8051,3.8191,3.8265,3.8235,3.8207,3.8256,3.8282,3.8263,3.8210,3.8176,
Yes,0.00,118.94,29.13,4.88,14.93,3.34,1.86,32.39,0x0,0x0,0,0,0.10,0.01,0.00,Yes,0.00,118.74,31.06,101.90,14.90,3.29,1.86,36.79,0x0,0x0,0,0,0.06,0.00,0.00,Neutral,0.00,0.00,0.00,0x0,0x0,0x0,0x0,0x0,0x0,0x1,0x0,0x0,0.37,12.24,31.89,33.17,120.39,3.35,117.83,33.22,35.13,120.39,0.00,0.00,30.89,0.00,121.06,4.64,101.78,33.11,21.94,121.06,3.63,73.73,31.44,20.30,120.96,3.17,66.34,32.44,20.90,120.96,-0.182414,1,1,1,3.8235,3.8270,3.8277,3.8262,3.8266,3.8256,3.8228,3.8270,3.8254,3.8226,3.8606,3.8224,3.8619,3.8223,3.8212,3.8188,3.8746,3.8281,3.8211,3.8621,3.8277,3.8072,3.8213,3.8292,3.8260,3.8229,3.8282,3.8309,3.8292,3.8235,3.8197,
Yes,0.00,118.78,29.13,4.88,14.93,3.34,1.87,32.38,0x0,0x0,0,0,0.00,0.00,0.00,Yes,0.00,118.59,31.06,102.18,14.90,3.29,1.86,36.78,0x0,0x0,0,0,-0.17,-0.01,0.00,Neutral,0.00,0.00,0.00,0x0,0x0,0x0,0x0,0x0,0x0,0x1,0x0,0x0,0.00,0.00,31.78,33.34,120.22,2.29,77.31,33.11,33.76,120.22,0.00,0.00,30.89,0.00,120.88,4.45,102.17,33.11,22.94,120.88,3.76,67.81,31.55,18.04,120.71,3.46,69.96,32.55,20.22,120.71,-0.182295,1,1,1,3.8172,3.8208,3.8216,3.8208,3.8212,3.8206,3.8166,3.8203,3.8196,3.8174,3.8552,3.8163,3.8529,3.8165,3.8159,3.8139,3.8679,3.8214,3.8153,3.8565,3.8219,3.8023,3.8156,3.8226,3.8200,3.8177,3.8225,3.8251,3.8220,3.8175,3.8145,
Yes,0.00,118.85,29.13,4.88,14.93,3.34,1.86,32.39,0x0,0x0,0,0,0.00,0.00,0.00,Yes,0.00,118.66,31.06,102.18,14.90,3.29,1.86,36.78,0x0,0x0,0,0,0.00,0.00,0.00,Neutral,0.00,0.00,0.00,0x0,0x0,0x0,0x0,0x0,0x0,0x1,0x0,0x0,0.57,13.04,31.89,22.87,120.39,2.47,94.57,33.22,38.35,120.39,0.00,0.00,30.89,0.00,120.98,4.62,102.01,33.11,22.08,120.98,3.72,68.43,31.55,18.39,120.88,3.55,68.92,32.55,19.41,120.88,-0.182132,1,1,1,3.8197,3.8230,3.8235,3.8222,3.8224,3.8216,3.8191,3.8226,3.8214,3.8189,3.8566,3.8187,3.8561,3.8183,3.8172,3.8151,3.8693,3.8240,3.8171,3.8580,3.8235,3.8036,3.8178,3.8248,3.8219,3.8192,3.8239,3.8264,3.8248,3.8195,3.8160,
Yes,0.00,118.97,29.13,4.88,14.93,3.34,1.86,32.38,0x0,0x0,0,0,0.00,0.00,0.00,Yes,0.00,118.78,31.07,101.90,14.90,3.29,1.86,36.78,0x0,0x0,0,0,0.00,0.00,0.00,Neutral,0.00,0.00,0.00,0x0,0x0,0x0,0x0,0x0,0x0,0x1,0x0,0x0,0.30,9.95,31.89,33.27,120.39,3.52,115.01,33.22,32.72,120.39,0.00,0.00,30.89,0.00,121.08,4.62,102.15,33.11,22.10,121.08,3.63,73.56,31.55,20.28,120.98,3.49,69.90,32.66,20.04,120.98,-0.182358,1,1,1,3.8229,3.8265,3.8272,3.8255,3.8259,3.8247,3.8223,3.8266,3.8250,3.8220,3.8600,3.8218,3.8610,3.8219,3.8206,3.8182,3.8734,3.8276,3.8205,3.8616,3.8270,3.8065,3.8208,3.8287,3.8254,3.8224,3.8273,3.8300,3.8287,3.8231,3.8194,
Yes,0.00,118.90,29.14,4.88,14.93,3.34,1.86,32.38,0x0,0x0,0,0,0.00,0.00,0.00,Yes,0.00,118.73,31.07,101.90,14.90,3.29,1.86,36.78,0x0,0x0,0,0,0.19,0.01,0.00,Neutral,0.00,0.00,0.00,0x0,0x0,0x0,0x0,0x0,0x0,0x1,0x0,0x0,0.00,0.00,31.89,33.60,120.35,3.50,115.72,33.33,33.09,120.35,0.00,0.00,30.89,0.00,121.04,4.49,102.06,33.11,22.75,121.04,3.74,68.65,31.55,18.37,120.90,3.47,69.83,32.44,20.10,120.90,-0.182688,1,1,1,3.8214,3.8248,3.8254,3.8240,3.8243,3.8235,3.8208,3.8248,3.8232,3.8205,3.8586,3.8203,3.8586,3.8202,3.8191,3.8168,3.8719,3.8259,3.8189,3.8598,3.8254,3.8053,3.8196,3.8269,3.8237,3.8210,3.8258,3.8287,3.8268,3.8213,3.8178,
Yes,0.00,118.98,29.14,4.88,14.93,3.34,1.86,32.39,0x0,0x0,0,0,0.00,0.00,0.00,Yes,0.00,118.76,31.07,101.90,14.91,3.29,1.86,36.77,0x0,0x0,0,0,0.00,0.00,0.00,Neutral,0.00,0.00,0.00,0x0,0x0,0x0,0x0,0x0,0x0,0x1,0x0,0x0,0.86,24.60,31.89,28.54,120.47,3.51,114.61,33.22,32.68,120.47,0.00,0.00,30.89,0.00,121.14,4.67,101.49,33.11,21.75,121.14,3.59,73.64,31.55,20.49,120.98,3.43,69.39,32.66,20.20,120.98,-0.182625,1,1,1,3.8236,3.8273,3.8280,3.8267,3.8275,3.8264,3.8230,3.8274,3.8258,3.8230,3.8616,3.8224,3.8619,3.8227,3.8218,3.8195,3.8757,3.8280,3.8212,3.8624,3.8283,3.8080,3.8214,3.8294,3.8264,3.8235,3.8289,3.8318,3.8294,3.8236,3.8201,
Yes,0.00,118.92,29.13,4.88,14.93,3.34,1.87,32.36,0x0,0x0,0,0,0.00,0.00,0.00,Yes,0.00,118.73,31.08,102.18,14.91,3.29,1.86,36.78,0x0,0x0,0,0,0.00,0.00,0.00,Neutral,0.00,0.00,0.00,0x0,0x0,0x0,0x0,0x0,0x0,0x1,0x0,0x0,0.01,0.44,31.89,33.60,120.39,3.46,111.53,33.33,32.27,120.39,0.00,0.00,30.89,0.00,121.04,4.49,102.22,33.11,22.75,121.04,3.75,66.75,31.55,17.82,120.88,3.52,66.47,32.77,18.90,120.88,-0.182283,1,1,1,3.8206,3.8239,3.8246,3.8233,3.8237,3.8228,3.8198,3.8236,3.8223,3.8197,3.8577,3.8196,3.8574,3.8194,3.8184,3.8163,3.8711,3.8250,3.8182,3.8592,3.8245,3.8046,3.8186,3.8258,3.8229,3.8201,3.8249,3.8278,3.8259,3.8205,3.8172,
Yes,0.00,119.01,29.14,4.88,14.93,3.34,1.87,32.35,0x0,0x0,0,0,0.00,0.00,0.00,Yes,0.00,118.78,31.08,101.90,14.91,3.29,1.86,36.78,0x0,0x0,0,0,0.00,0.00,0.00,Neutral,0.00,0.00,0.00,0x0,0x0,0x0,0x0,0x0,0x0,0x1,0x0,0x0,1.20,34.67,31.89,28.99,120.47,3.54,109.95,33.22,31.05,120.47,0.00,0.00,30.89,0.00,121.04,4.60,102.12,33.22,22.22,121.04,3.80,56.07,31.55,14.74,120.88,3.53,66.14,32.77,18.71,120.88,-0.182168,1,1,1,3.8240,3.8277,3.8285,3.8270,3.8278,3.8267,3.8232,3.8279,3.8262,3.8233,3.8619,3.8227,3.8626,3.8232,3.8221,3.8199,3.8762,3.8286,3.8216,3.8628,3.8285,3.8083,3.8219,3.8299,3.8267,3.8239,3.8292,3.8322,3.8297,3.8242,3.8204,
